[1267, 753]
[folio, [338.0, 75.0, 83.0, 18.0], shoonya_3sSGMHOI7W0BSK, 5699573]
[paragraph, [75.0, 120.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 138.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 156.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 174.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 192.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 210.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 228.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 246.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 264.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 282.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 300.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 318.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 336.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 354.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 372.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 390.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 408.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 426.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 444.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[paragraph, [75.0, 462.0, 601.0, 18.0], shoonya_0sPSI039N7B0XU, 5699573]
[section-title, [281.0, 521.0, 189.0, 30.0], shoonya_2sHS9N2YFEZ670, 5699573]
[paragraph, [75.0, 567.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 585.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 603.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 621.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 639.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 657.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 675.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 693.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 711.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 729.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 747.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 765.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 783.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 801.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 819.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 837.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 855.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 873.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 891.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 909.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
[paragraph, [75.0, 927.0, 599.0, 18.0], shoonya_1sZKHBGYEM451W, 5699573]
