[1763, 1275]
[paragraph, [35.0, 78.0, 586.0, 36.0], shoonya_4sO32R37CONUU8, 5712401]
[paragraph, [35.0, 114.0, 586.0, 36.0], shoonya_4sO32R37CONUU8, 5712401]
[paragraph, [30.0, 151.0, 595.0, 36.0], shoonya_1s17B4BU3YCOPE, 5712401]
[paragraph, [30.0, 187.0, 595.0, 36.0], shoonya_1s17B4BU3YCOPE, 5712401]
[paragraph, [30.0, 223.0, 595.0, 36.0], shoonya_1s17B4BU3YCOPE, 5712401]
[paragraph, [30.0, 259.0, 595.0, 36.0], shoonya_1s17B4BU3YCOPE, 5712401]
[paragraph, [30.0, 295.0, 595.0, 36.0], shoonya_1s17B4BU3YCOPE, 5712401]
[paragraph, [30.0, 331.0, 595.0, 36.0], shoonya_1s17B4BU3YCOPE, 5712401]
[paragraph, [30.0, 367.0, 595.0, 36.0], shoonya_1s17B4BU3YCOPE, 5712401]
[paragraph, [30.0, 403.0, 595.0, 36.0], shoonya_1s17B4BU3YCOPE, 5712401]
[paragraph, [30.0, 439.0, 595.0, 36.0], shoonya_1s17B4BU3YCOPE, 5712401]
[paragraph, [30.0, 475.0, 595.0, 36.0], shoonya_1s17B4BU3YCOPE, 5712401]
[paragraph, [30.0, 511.0, 595.0, 36.0], shoonya_1s17B4BU3YCOPE, 5712401]
[paragraph, [30.0, 547.0, 595.0, 36.0], shoonya_1s17B4BU3YCOPE, 5712401]
[paragraph, [30.0, 583.0, 595.0, 36.0], shoonya_1s17B4BU3YCOPE, 5712401]
[paragraph, [30.0, 619.0, 595.0, 36.0], shoonya_1s17B4BU3YCOPE, 5712401]
[paragraph, [30.0, 655.0, 595.0, 36.0], shoonya_1s17B4BU3YCOPE, 5712401]
[paragraph, [30.0, 691.0, 595.0, 36.0], shoonya_1s17B4BU3YCOPE, 5712401]
[paragraph, [635.0, 646.0, 612.0, 36.0], shoonya_5s0F8RBX8HAZJK, 5712401]
[paragraph, [635.0, 682.0, 612.0, 36.0], shoonya_5s0F8RBX8HAZJK, 5712401]
[paragraph, [634.0, 710.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 746.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 782.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 818.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 854.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 890.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 926.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 962.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 998.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1034.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1070.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1106.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1142.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1178.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1214.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1250.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1286.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1322.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1358.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1394.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1430.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1466.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1502.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1538.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1574.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1610.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [634.0, 1646.0, 618.0, 36.0], shoonya_2sO21ZU2Z4FON2, 5712401]
[paragraph, [26.0, 747.0, 599.0, 36.0], shoonya_0sJDT5LQ4N10VU, 5712401]
[paragraph, [26.0, 783.0, 599.0, 36.0], shoonya_0sJDT5LQ4N10VU, 5712401]
[paragraph, [26.0, 819.0, 599.0, 36.0], shoonya_0sJDT5LQ4N10VU, 5712401]
[paragraph, [26.0, 855.0, 599.0, 36.0], shoonya_0sJDT5LQ4N10VU, 5712401]
[paragraph, [26.0, 891.0, 599.0, 36.0], shoonya_0sJDT5LQ4N10VU, 5712401]
