[834, 618]
[folio, [43.0, 51.0, 148.0, 18.0], h8tMYYEXH1, 5712432]
[headline, [191.0, 303.0, 366.0, 25.5], shoonya_2sPZD7TJYVGIHU, 5712432]
[headline, [191.0, 328.5, 366.0, 25.5], shoonya_2sPZD7TJYVGIHU, 5712432]
[paragraph, [277.0, 374.0, 285.0, 18.0], shoonya_1sXGXHCTP3MM65, 5712432]
[paragraph, [277.0, 392.0, 285.0, 18.0], shoonya_1sXGXHCTP3MM65, 5712432]
[paragraph, [277.0, 410.0, 285.0, 18.0], shoonya_1sXGXHCTP3MM65, 5712432]
[paragraph, [277.0, 428.0, 285.0, 18.0], shoonya_1sXGXHCTP3MM65, 5712432]
[paragraph, [277.0, 446.0, 285.0, 18.0], shoonya_1sXGXHCTP3MM65, 5712432]
[paragraph, [277.0, 464.0, 285.0, 18.0], shoonya_1sXGXHCTP3MM65, 5712432]
[paragraph, [277.0, 482.0, 285.0, 18.0], shoonya_1sXGXHCTP3MM65, 5712432]
[paragraph, [277.0, 500.0, 285.0, 18.0], shoonya_1sXGXHCTP3MM65, 5712432]
[paragraph, [277.0, 518.0, 285.0, 18.0], shoonya_1sXGXHCTP3MM65, 5712432]
[paragraph, [280.0, 545.0, 289.0, 18.0], shoonya_3sDKG821L19INB, 5712432]
[paragraph, [280.0, 563.0, 289.0, 18.0], shoonya_3sDKG821L19INB, 5712432]
[paragraph, [280.0, 581.0, 289.0, 18.0], shoonya_3sDKG821L19INB, 5712432]
[paragraph, [280.0, 599.0, 289.0, 18.0], shoonya_3sDKG821L19INB, 5712432]
[paragraph, [280.0, 617.0, 289.0, 18.0], shoonya_3sDKG821L19INB, 5712432]
[paragraph, [280.0, 635.0, 289.0, 18.0], shoonya_3sDKG821L19INB, 5712432]
[paragraph, [280.0, 653.0, 289.0, 18.0], shoonya_3sDKG821L19INB, 5712432]
[paragraph, [280.0, 671.0, 289.0, 18.0], shoonya_3sDKG821L19INB, 5712432]
[paragraph, [280.0, 689.0, 289.0, 18.0], shoonya_3sDKG821L19INB, 5712432]
[paragraph, [280.0, 707.0, 289.0, 18.0], shoonya_3sDKG821L19INB, 5712432]
[paragraph, [280.0, 725.0, 289.0, 18.0], shoonya_3sDKG821L19INB, 5712432]
[paragraph, [280.0, 743.0, 289.0, 18.0], shoonya_3sDKG821L19INB, 5712432]
[quote, [28.0, 564.0, 252.0, 18.0], shoonya_6sUR7JLAK6WOT5, 5712432]
[quote, [28.0, 582.0, 252.0, 18.0], shoonya_6sUR7JLAK6WOT5, 5712432]
[quote, [28.0, 600.0, 252.0, 18.0], shoonya_6sUR7JLAK6WOT5, 5712432]
[quote, [28.0, 618.0, 252.0, 18.0], shoonya_6sUR7JLAK6WOT5, 5712432]
[quote, [28.0, 636.0, 252.0, 18.0], shoonya_6sUR7JLAK6WOT5, 5712432]
[quote, [28.0, 654.0, 252.0, 18.0], shoonya_6sUR7JLAK6WOT5, 5712432]
[quote, [28.0, 672.0, 252.0, 18.0], shoonya_6sUR7JLAK6WOT5, 5712432]
[quote, [28.0, 690.0, 252.0, 18.0], shoonya_6sUR7JLAK6WOT5, 5712432]
[quote, [28.0, 708.0, 252.0, 18.0], shoonya_6sUR7JLAK6WOT5, 5712432]
[quote, [28.0, 726.0, 252.0, 18.0], shoonya_6sUR7JLAK6WOT5, 5712432]
[quote, [28.0, 744.0, 252.0, 18.0], shoonya_6sUR7JLAK6WOT5, 5712432]
[folio, [72.0, 770.0, 120.0, 18.0], V7xg0Zd_2z, 5712432]
