[842, 596]
[section-title, [71.0, 91.0, 184.0, 30.0], shoonya_3sTHOXS6CTW192, 6461450]
[paragraph, [61.0, 130.0, 476.0, 18.0], shoonya_0s6POK30NNCH0X, 6461450]
[paragraph, [61.0, 148.0, 476.0, 18.0], shoonya_0s6POK30NNCH0X, 6461450]
[paragraph, [61.0, 166.0, 476.0, 18.0], shoonya_0s6POK30NNCH0X, 6461450]
[paragraph, [61.0, 184.0, 476.0, 18.0], shoonya_0s6POK30NNCH0X, 6461450]
[paragraph, [61.0, 202.0, 476.0, 18.0], shoonya_0s6POK30NNCH0X, 6461450]
[paragraph, [61.0, 220.0, 476.0, 18.0], shoonya_0s6POK30NNCH0X, 6461450]
[paragraph, [61.0, 238.0, 476.0, 18.0], shoonya_0s6POK30NNCH0X, 6461450]
[paragraph, [61.0, 256.0, 476.0, 18.0], shoonya_0s6POK30NNCH0X, 6461450]
[paragraph, [61.0, 274.0, 476.0, 18.0], shoonya_0s6POK30NNCH0X, 6461450]
[paragraph, [61.0, 292.0, 476.0, 18.0], shoonya_0s6POK30NNCH0X, 6461450]
[paragraph, [65.0, 315.0, 472.0, 18.0], shoonya_1sAVRK1ROG76NY, 6461450]
[paragraph, [65.0, 333.0, 472.0, 18.0], shoonya_1sAVRK1ROG76NY, 6461450]
[paragraph, [65.0, 351.0, 472.0, 18.0], shoonya_1sAVRK1ROG76NY, 6461450]
[paragraph, [65.0, 369.0, 472.0, 18.0], shoonya_1sAVRK1ROG76NY, 6461450]
[folio, [56.0, 740.0, 83.0, 18.0], shoonya_4sG7TL9KZFSW1X, 6461450]
