[1200, 825]
[paragraph, [141.0, 108.0, 550.0, 18.0], shoonya_0s1SJRL8AT23KF, 5690751]
[paragraph, [141.0, 126.0, 550.0, 18.0], shoonya_0s1SJRL8AT23KF, 5690751]
[paragraph, [141.0, 144.0, 550.0, 18.0], shoonya_0s1SJRL8AT23KF, 5690751]
[paragraph, [143.0, 171.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 189.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 207.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 225.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 243.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 261.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 279.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 297.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 315.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 333.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 351.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 369.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 387.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 405.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 423.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 441.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 459.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 477.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 495.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 513.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 531.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 549.0, 543.0, 18.0], hWVVeWetfd, 5690751]
[paragraph, [143.0, 570.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 588.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 606.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 624.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 642.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 660.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 678.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 696.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 714.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 732.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 750.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 768.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 786.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 804.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 822.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 840.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 858.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 876.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 894.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 912.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 930.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 948.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 966.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 984.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 1002.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 1020.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
[paragraph, [143.0, 1038.0, 540.0, 18.0], 3zulX7SiVy, 5690751]
