[2806, 1983]
[ordered-list, [213.0, 211.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 257.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 304.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 350.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 397.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 443.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 490.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 536.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 583.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 629.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 676.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 722.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 769.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 815.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 862.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 908.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 955.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1001.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1048.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1094.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1141.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1187.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1234.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1280.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1327.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1373.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1420.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1466.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1513.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1559.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1606.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1652.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1699.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1745.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1792.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1838.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1885.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1931.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 1978.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 2024.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 2071.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 2117.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 2164.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 2210.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 2257.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 2303.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 2350.0, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
[ordered-list, [213.0, 2396.5, 1573.0, 46.5], shoonya_0s1J0VYG6Y6Q44, 5682333]
