[792, 612]
[paragraph, [145.0, 70.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 88.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 106.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 124.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 142.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 160.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 178.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 196.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 214.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 232.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 250.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 268.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 286.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 304.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 322.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 340.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 358.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 376.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 394.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 412.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 430.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 448.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 466.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [145.0, 484.0, 328.0, 18.0], shoonya_0sP9YG9K41CERJ, 5771097]
[paragraph, [150.0, 524.0, 294.0, 18.0], shoonya_1sWGH3T79HXGU7, 5771097]
[paragraph, [150.0, 542.0, 294.0, 18.0], shoonya_1sWGH3T79HXGU7, 5771097]
[paragraph, [150.0, 560.0, 294.0, 18.0], shoonya_1sWGH3T79HXGU7, 5771097]
[paragraph, [150.0, 578.0, 294.0, 18.0], shoonya_1sWGH3T79HXGU7, 5771097]
[paragraph, [150.0, 596.0, 294.0, 18.0], shoonya_1sWGH3T79HXGU7, 5771097]
[paragraph, [150.0, 614.0, 294.0, 18.0], shoonya_1sWGH3T79HXGU7, 5771097]
[paragraph, [150.0, 632.0, 294.0, 18.0], shoonya_1sWGH3T79HXGU7, 5771097]
[paragraph, [150.0, 650.0, 294.0, 18.0], shoonya_1sWGH3T79HXGU7, 5771097]
[paragraph, [150.0, 668.0, 294.0, 18.0], shoonya_1sWGH3T79HXGU7, 5771097]
[paragraph, [150.0, 686.0, 294.0, 18.0], shoonya_1sWGH3T79HXGU7, 5771097]
[paragraph, [150.0, 704.0, 294.0, 18.0], shoonya_1sWGH3T79HXGU7, 5771097]
[paragraph, [150.0, 722.0, 294.0, 18.0], shoonya_1sWGH3T79HXGU7, 5771097]
[paragraph, [150.0, 740.0, 294.0, 18.0], shoonya_1sWGH3T79HXGU7, 5771097]
