[1637, 1070]
[folio, [109.0, 115.0, 203.0, 36.0], shoonya_3s721RRDTANYVV, 5653761]
[chapter-title, [204.0, 515.0, 455.0, 58.5], shoonya_5sPJ27ROBUE00N, 5653761]
[chapter-title, [204.0, 573.5, 455.0, 58.5], shoonya_5sPJ27ROBUE00N, 5653761]
[author, [789.0, 684.0, 168.0, 36.0], shoonya_2s3V672VMO6NNL, 5653761]
[paragraph, [124.0, 798.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 834.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 870.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 906.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 942.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 978.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 1014.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 1050.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 1086.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 1122.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 1158.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 1194.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 1230.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 1266.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 1302.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 1338.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 1374.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 1410.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
[paragraph, [124.0, 1446.0, 863.0, 36.0], shoonya_0sNTR2T5AXSCOX, 5653761]
