[1754, 1241]
[folio, [53.0, 88.0, 170.0, 36.0], shoonya_6sFZI8ODZS2I76, 6472190]
[paragraph, [61.0, 136.0, 555.0, 36.0], shoonya_1sWW6ZDOEQ6XDH, 6472190]
[paragraph, [61.0, 172.0, 555.0, 36.0], shoonya_1sWW6ZDOEQ6XDH, 6472190]
[paragraph, [61.0, 208.0, 555.0, 36.0], shoonya_1sWW6ZDOEQ6XDH, 6472190]
[paragraph, [61.0, 244.0, 555.0, 36.0], shoonya_1sWW6ZDOEQ6XDH, 6472190]
[paragraph, [61.0, 280.0, 555.0, 36.0], shoonya_1sWW6ZDOEQ6XDH, 6472190]
[paragraph, [61.0, 316.0, 555.0, 36.0], shoonya_1sWW6ZDOEQ6XDH, 6472190]
[paragraph, [61.0, 352.0, 555.0, 36.0], shoonya_1sWW6ZDOEQ6XDH, 6472190]
[paragraph, [61.0, 388.0, 555.0, 36.0], shoonya_1sWW6ZDOEQ6XDH, 6472190]
[paragraph, [61.0, 424.0, 555.0, 36.0], shoonya_1sWW6ZDOEQ6XDH, 6472190]
[paragraph, [61.0, 460.0, 555.0, 36.0], shoonya_1sWW6ZDOEQ6XDH, 6472190]
[paragraph, [61.0, 496.0, 555.0, 36.0], shoonya_1sWW6ZDOEQ6XDH, 6472190]
[paragraph, [61.0, 532.0, 555.0, 36.0], shoonya_1sWW6ZDOEQ6XDH, 6472190]
[paragraph, [61.0, 568.0, 555.0, 36.0], shoonya_1sWW6ZDOEQ6XDH, 6472190]
[paragraph, [61.0, 604.0, 555.0, 36.0], shoonya_1sWW6ZDOEQ6XDH, 6472190]
[paragraph, [61.0, 640.0, 555.0, 36.0], shoonya_1sWW6ZDOEQ6XDH, 6472190]
[paragraph, [61.0, 676.0, 555.0, 36.0], shoonya_1sWW6ZDOEQ6XDH, 6472190]
[paragraph, [61.0, 712.0, 555.0, 36.0], shoonya_1sWW6ZDOEQ6XDH, 6472190]
[paragraph, [628.0, 638.0, 545.0, 36.0], shoonya_4s2L23Z1LQ3W3R, 6472190]
[paragraph, [628.0, 674.0, 545.0, 36.0], shoonya_4s2L23Z1LQ3W3R, 6472190]
[paragraph, [628.0, 710.0, 545.0, 36.0], shoonya_4s2L23Z1LQ3W3R, 6472190]
[paragraph, [628.0, 746.0, 545.0, 36.0], shoonya_4s2L23Z1LQ3W3R, 6472190]
[paragraph, [628.0, 782.0, 545.0, 36.0], shoonya_4s2L23Z1LQ3W3R, 6472190]
[paragraph, [628.0, 818.0, 545.0, 36.0], shoonya_4s2L23Z1LQ3W3R, 6472190]
[paragraph, [628.0, 854.0, 545.0, 36.0], shoonya_4s2L23Z1LQ3W3R, 6472190]
[paragraph, [628.0, 890.0, 545.0, 36.0], shoonya_4s2L23Z1LQ3W3R, 6472190]
[paragraph, [628.0, 926.0, 545.0, 36.0], shoonya_4s2L23Z1LQ3W3R, 6472190]
[paragraph, [628.0, 962.0, 545.0, 36.0], shoonya_4s2L23Z1LQ3W3R, 6472190]
[paragraph, [60.0, 804.0, 548.0, 36.0], shoonya_3sE4LJWK6FUKSO, 6472190]
[paragraph, [60.0, 840.0, 548.0, 36.0], shoonya_3sE4LJWK6FUKSO, 6472190]
[paragraph, [60.0, 876.0, 548.0, 36.0], shoonya_3sE4LJWK6FUKSO, 6472190]
[paragraph, [60.0, 912.0, 548.0, 36.0], shoonya_3sE4LJWK6FUKSO, 6472190]
[paragraph, [60.0, 948.0, 548.0, 36.0], shoonya_3sE4LJWK6FUKSO, 6472190]
[paragraph, [60.0, 984.0, 548.0, 36.0], shoonya_3sE4LJWK6FUKSO, 6472190]
[paragraph, [60.0, 1020.0, 548.0, 36.0], shoonya_3sE4LJWK6FUKSO, 6472190]
[paragraph, [60.0, 1056.0, 548.0, 36.0], shoonya_3sE4LJWK6FUKSO, 6472190]
[paragraph, [60.0, 1092.0, 548.0, 36.0], shoonya_3sE4LJWK6FUKSO, 6472190]
[paragraph, [60.0, 1128.0, 548.0, 36.0], shoonya_3sE4LJWK6FUKSO, 6472190]
[paragraph, [60.0, 1164.0, 548.0, 36.0], shoonya_3sE4LJWK6FUKSO, 6472190]
[paragraph, [60.0, 1200.0, 548.0, 36.0], shoonya_3sE4LJWK6FUKSO, 6472190]
[paragraph, [60.0, 1236.0, 548.0, 36.0], shoonya_3sE4LJWK6FUKSO, 6472190]
[paragraph, [60.0, 1272.0, 548.0, 36.0], shoonya_3sE4LJWK6FUKSO, 6472190]
[paragraph, [60.0, 1308.0, 548.0, 36.0], shoonya_3sE4LJWK6FUKSO, 6472190]
[paragraph, [60.0, 1344.0, 548.0, 36.0], shoonya_3sE4LJWK6FUKSO, 6472190]
[paragraph, [60.0, 1380.0, 548.0, 36.0], shoonya_3sE4LJWK6FUKSO, 6472190]
[paragraph, [627.0, 1027.0, 548.0, 36.0], ur-0fJf8NM, 6472190]
[paragraph, [627.0, 1063.0, 548.0, 36.0], ur-0fJf8NM, 6472190]
[paragraph, [627.0, 1099.0, 548.0, 36.0], ur-0fJf8NM, 6472190]
[paragraph, [627.0, 1135.0, 548.0, 36.0], ur-0fJf8NM, 6472190]
[paragraph, [627.0, 1171.0, 548.0, 36.0], ur-0fJf8NM, 6472190]
[paragraph, [627.0, 1207.0, 548.0, 36.0], ur-0fJf8NM, 6472190]
[paragraph, [627.0, 1243.0, 548.0, 36.0], ur-0fJf8NM, 6472190]
