[2339, 1653]
[paragraph, [327.0, 164.0, 1106.0, 36.0], shoonya_4sXZ3U4LZ0XKOU, 5734507]
[paragraph, [325.0, 218.0, 1134.0, 36.0], shoonya_2sFCHNZJ5ATXZP, 5734507]
[paragraph, [325.0, 254.0, 1134.0, 36.0], shoonya_2sFCHNZJ5ATXZP, 5734507]
[paragraph, [325.0, 290.0, 1134.0, 36.0], shoonya_2sFCHNZJ5ATXZP, 5734507]
[paragraph, [325.0, 326.0, 1134.0, 36.0], shoonya_2sFCHNZJ5ATXZP, 5734507]
[paragraph, [325.0, 362.0, 1134.0, 36.0], shoonya_2sFCHNZJ5ATXZP, 5734507]
[paragraph, [325.0, 398.0, 1134.0, 36.0], shoonya_2sFCHNZJ5ATXZP, 5734507]
[paragraph, [325.0, 434.0, 1134.0, 36.0], shoonya_2sFCHNZJ5ATXZP, 5734507]
[paragraph, [325.0, 470.0, 1134.0, 36.0], shoonya_2sFCHNZJ5ATXZP, 5734507]
[paragraph, [325.0, 506.0, 1134.0, 36.0], shoonya_2sFCHNZJ5ATXZP, 5734507]
[paragraph, [325.0, 542.0, 1134.0, 36.0], shoonya_2sFCHNZJ5ATXZP, 5734507]
[paragraph, [327.0, 611.0, 1134.0, 36.0], shoonya_1sBZG3AYU11LGK, 5734507]
[paragraph, [327.0, 647.0, 1134.0, 36.0], shoonya_1sBZG3AYU11LGK, 5734507]
[paragraph, [327.0, 683.0, 1134.0, 36.0], shoonya_1sBZG3AYU11LGK, 5734507]
[paragraph, [327.0, 719.0, 1134.0, 36.0], shoonya_1sBZG3AYU11LGK, 5734507]
[paragraph, [327.0, 755.0, 1134.0, 36.0], shoonya_1sBZG3AYU11LGK, 5734507]
[paragraph, [327.0, 791.0, 1134.0, 36.0], shoonya_1sBZG3AYU11LGK, 5734507]
[paragraph, [327.0, 827.0, 1134.0, 36.0], shoonya_1sBZG3AYU11LGK, 5734507]
[paragraph, [327.0, 863.0, 1134.0, 36.0], shoonya_1sBZG3AYU11LGK, 5734507]
[paragraph, [327.0, 899.0, 1134.0, 36.0], shoonya_1sBZG3AYU11LGK, 5734507]
[paragraph, [327.0, 935.0, 1134.0, 36.0], shoonya_1sBZG3AYU11LGK, 5734507]
[paragraph, [327.0, 971.0, 1134.0, 36.0], shoonya_1sBZG3AYU11LGK, 5734507]
[paragraph, [327.0, 1007.0, 1134.0, 36.0], shoonya_1sBZG3AYU11LGK, 5734507]
[paragraph, [325.0, 1054.0, 1132.0, 36.0], shoonya_0sAL8RWYC2PKO4, 5734507]
[paragraph, [325.0, 1090.0, 1132.0, 36.0], shoonya_0sAL8RWYC2PKO4, 5734507]
[paragraph, [325.0, 1126.0, 1132.0, 36.0], shoonya_0sAL8RWYC2PKO4, 5734507]
[paragraph, [325.0, 1162.0, 1132.0, 36.0], shoonya_0sAL8RWYC2PKO4, 5734507]
[paragraph, [325.0, 1198.0, 1132.0, 36.0], shoonya_0sAL8RWYC2PKO4, 5734507]
[paragraph, [325.0, 1234.0, 1132.0, 36.0], shoonya_0sAL8RWYC2PKO4, 5734507]
[paragraph, [325.0, 1270.0, 1132.0, 36.0], shoonya_0sAL8RWYC2PKO4, 5734507]
[paragraph, [325.0, 1306.0, 1132.0, 36.0], shoonya_0sAL8RWYC2PKO4, 5734507]
[paragraph, [325.0, 1342.0, 1132.0, 36.0], shoonya_0sAL8RWYC2PKO4, 5734507]
