[842, 595]
[folio, [120.0, 18.0, 354.0, 18.0], fQoCF8VX3_, 5757397]
[folio, [120.0, 36.0, 354.0, 18.0], fQoCF8VX3_, 5757397]
[ordered-list, [369.0, 59.0, 154.0, 18.0], VftjXl04Iv, 5757397]
[ordered-list, [369.0, 77.0, 154.0, 18.0], VftjXl04Iv, 5757397]
[ordered-list, [369.0, 95.0, 154.0, 18.0], VftjXl04Iv, 5757397]
[ordered-list, [369.0, 113.0, 154.0, 18.0], VftjXl04Iv, 5757397]
[ordered-list, [369.0, 131.0, 154.0, 18.0], VftjXl04Iv, 5757397]
[ordered-list, [369.0, 149.0, 154.0, 18.0], VftjXl04Iv, 5757397]
[ordered-list, [369.0, 167.0, 154.0, 18.0], VftjXl04Iv, 5757397]
[ordered-list, [110.0, 63.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 81.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 99.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 117.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 135.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 153.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 171.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 189.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 207.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 225.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 243.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 261.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 279.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 297.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 315.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 333.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 351.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 369.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 387.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 405.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 423.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 441.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 459.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 477.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 495.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 513.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 531.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 549.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 567.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 585.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 603.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 621.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 639.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 657.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 675.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 693.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 711.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 729.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 747.0, 176.0, 18.0], SgH256cKUb, 5757397]
[ordered-list, [110.0, 765.0, 176.0, 18.0], SgH256cKUb, 5757397]
[options, [361.0, 248.0, 134.0, 18.0], Sr2mUUJlnV, 5757397]
[options, [361.0, 266.0, 134.0, 18.0], Sr2mUUJlnV, 5757397]
[options, [361.0, 284.0, 134.0, 18.0], Sr2mUUJlnV, 5757397]
[options, [361.0, 302.0, 134.0, 18.0], Sr2mUUJlnV, 5757397]
[options, [361.0, 320.0, 134.0, 18.0], Sr2mUUJlnV, 5757397]
[options, [362.0, 427.0, 81.0, 18.0], VFE5LvCYhl, 5757397]
[options, [362.0, 445.0, 81.0, 18.0], VFE5LvCYhl, 5757397]
[options, [362.0, 463.0, 81.0, 18.0], VFE5LvCYhl, 5757397]
[options, [362.0, 481.0, 81.0, 18.0], VFE5LvCYhl, 5757397]
[options, [362.0, 499.0, 81.0, 18.0], VFE5LvCYhl, 5757397]
[options, [357.0, 712.0, 67.0, 18.0], DuJ1QcoYG2, 5757397]
[options, [357.0, 730.0, 67.0, 18.0], DuJ1QcoYG2, 5757397]
[options, [357.0, 748.0, 67.0, 18.0], DuJ1QcoYG2, 5757397]
[options, [357.0, 766.0, 67.0, 18.0], DuJ1QcoYG2, 5757397]
[footnote, [118.0, 786.0, 356.0, 18.0], 0InTwAe9g2, 5757397]
