[1063, 680]
[paragraph, [62.0, 164.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 182.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 200.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 218.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 236.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 254.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 272.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 290.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 308.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 326.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 344.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 362.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 380.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 398.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 416.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 434.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 452.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 470.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 488.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 506.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 524.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 542.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 560.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 578.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 596.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 614.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 632.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 650.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 668.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 686.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 704.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[paragraph, [62.0, 722.0, 556.0, 18.0], 1qwrLHqKzX, 5739475]
[ordered-list, [92.0, 755.0, 535.0, 18.0], eUHGRdawcQ, 5739475]
[ordered-list, [92.0, 773.0, 535.0, 18.0], eUHGRdawcQ, 5739475]
[ordered-list, [92.0, 791.0, 535.0, 18.0], eUHGRdawcQ, 5739475]
[ordered-list, [92.0, 809.0, 535.0, 18.0], eUHGRdawcQ, 5739475]
[ordered-list, [92.0, 827.0, 535.0, 18.0], eUHGRdawcQ, 5739475]
[ordered-list, [92.0, 845.0, 535.0, 18.0], eUHGRdawcQ, 5739475]
[ordered-list, [92.0, 863.0, 535.0, 18.0], eUHGRdawcQ, 5739475]
[ordered-list, [92.0, 881.0, 535.0, 18.0], eUHGRdawcQ, 5739475]
[ordered-list, [92.0, 899.0, 535.0, 18.0], eUHGRdawcQ, 5739475]
[ordered-list, [92.0, 917.0, 535.0, 18.0], eUHGRdawcQ, 5739475]
[ordered-list, [92.0, 935.0, 535.0, 18.0], eUHGRdawcQ, 5739475]
[ordered-list, [92.0, 953.0, 535.0, 18.0], eUHGRdawcQ, 5739475]
[ordered-list, [92.0, 971.0, 535.0, 18.0], eUHGRdawcQ, 5739475]
[footnote, [453.0, 1015.0, 191.0, 18.0], eFxQWzveym, 5739475]
[footnote, [453.0, 1033.0, 191.0, 18.0], eFxQWzveym, 5739475]
