[3509, 2480]
[paragraph, [334.0, 390.0, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 442.5, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 495.0, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 547.5, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 600.0, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 652.5, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 705.0, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 757.5, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 810.0, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 862.5, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 915.0, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 967.5, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 1020.0, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 1072.5, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 1125.0, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 1177.5, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 1230.0, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 1282.5, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 1335.0, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 1387.5, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 1440.0, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 1492.5, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 1545.0, 1816.0, 52.5], RRq6QbnKaa, 5724441]
[paragraph, [334.0, 1650.0, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 1702.5, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 1755.0, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 1807.5, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 1860.0, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 1912.5, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 1965.0, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2017.5, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2070.0, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2122.5, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2175.0, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2227.5, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2280.0, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2332.5, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2385.0, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2437.5, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2490.0, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2542.5, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2595.0, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2647.5, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2700.0, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2752.5, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2805.0, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2857.5, 1819.0, 52.5], VxV2mhfjSx, 5724441]
[paragraph, [334.0, 2910.0, 1819.0, 52.5], VxV2mhfjSx, 5724441]
