[1987, 1270]
[folio, [587.0, 121.0, 107.0, 36.0], shoonya_0sJ1FXQNMF6RZ5, 5682682]
[paragraph, [126.0, 193.0, 1023.0, 36.0], shoonya_3sHCTHUW16MTQO, 5682682]
[paragraph, [126.0, 229.0, 1023.0, 36.0], shoonya_3sHCTHUW16MTQO, 5682682]
[paragraph, [126.0, 265.0, 1023.0, 36.0], shoonya_3sHCTHUW16MTQO, 5682682]
[paragraph, [126.0, 301.0, 1023.0, 36.0], shoonya_3sHCTHUW16MTQO, 5682682]
[paragraph, [126.0, 337.0, 1023.0, 36.0], shoonya_3sHCTHUW16MTQO, 5682682]
[paragraph, [126.0, 373.0, 1023.0, 36.0], shoonya_3sHCTHUW16MTQO, 5682682]
[paragraph, [126.0, 409.0, 1023.0, 36.0], shoonya_3sHCTHUW16MTQO, 5682682]
[paragraph, [126.0, 445.0, 1023.0, 36.0], shoonya_3sHCTHUW16MTQO, 5682682]
[paragraph, [126.0, 481.0, 1023.0, 36.0], shoonya_3sHCTHUW16MTQO, 5682682]
[paragraph, [126.0, 517.0, 1023.0, 36.0], shoonya_3sHCTHUW16MTQO, 5682682]
[paragraph, [126.0, 553.0, 1023.0, 36.0], shoonya_3sHCTHUW16MTQO, 5682682]
[paragraph, [126.0, 589.0, 1023.0, 36.0], shoonya_3sHCTHUW16MTQO, 5682682]
[paragraph, [124.0, 670.0, 1025.0, 36.0], shoonya_4sFP03MPUYJ9PG, 5682682]
[paragraph, [124.0, 706.0, 1025.0, 36.0], shoonya_4sFP03MPUYJ9PG, 5682682]
[paragraph, [124.0, 742.0, 1025.0, 36.0], shoonya_4sFP03MPUYJ9PG, 5682682]
[paragraph, [124.0, 778.0, 1025.0, 36.0], shoonya_4sFP03MPUYJ9PG, 5682682]
[paragraph, [124.0, 814.0, 1025.0, 36.0], shoonya_4sFP03MPUYJ9PG, 5682682]
[paragraph, [124.0, 850.0, 1025.0, 36.0], shoonya_4sFP03MPUYJ9PG, 5682682]
[paragraph, [124.0, 886.0, 1025.0, 36.0], shoonya_4sFP03MPUYJ9PG, 5682682]
[paragraph, [124.0, 922.0, 1025.0, 36.0], shoonya_4sFP03MPUYJ9PG, 5682682]
[paragraph, [123.0, 987.0, 1026.0, 36.0], shoonya_5sOFS8XYR2ZT57, 5682682]
[paragraph, [123.0, 1023.0, 1026.0, 36.0], shoonya_5sOFS8XYR2ZT57, 5682682]
[paragraph, [123.0, 1059.0, 1026.0, 36.0], shoonya_5sOFS8XYR2ZT57, 5682682]
[paragraph, [123.0, 1095.0, 1026.0, 36.0], shoonya_5sOFS8XYR2ZT57, 5682682]
[paragraph, [123.0, 1131.0, 1026.0, 36.0], shoonya_5sOFS8XYR2ZT57, 5682682]
[paragraph, [123.0, 1167.0, 1026.0, 36.0], shoonya_5sOFS8XYR2ZT57, 5682682]
[paragraph, [123.0, 1203.0, 1026.0, 36.0], shoonya_5sOFS8XYR2ZT57, 5682682]
[paragraph, [123.0, 1239.0, 1026.0, 36.0], shoonya_5sOFS8XYR2ZT57, 5682682]
[paragraph, [123.0, 1275.0, 1026.0, 36.0], shoonya_5sOFS8XYR2ZT57, 5682682]
[paragraph, [123.0, 1352.0, 1028.0, 36.0], 7kszQMvhpo, 5682682]
[paragraph, [123.0, 1388.0, 1028.0, 36.0], 7kszQMvhpo, 5682682]
[paragraph, [123.0, 1424.0, 1028.0, 36.0], 7kszQMvhpo, 5682682]
[paragraph, [123.0, 1460.0, 1028.0, 36.0], 7kszQMvhpo, 5682682]
[paragraph, [123.0, 1496.0, 1028.0, 36.0], 7kszQMvhpo, 5682682]
[paragraph, [123.0, 1532.0, 1028.0, 36.0], 7kszQMvhpo, 5682682]
[paragraph, [123.0, 1568.0, 1028.0, 36.0], 7kszQMvhpo, 5682682]
[paragraph, [123.0, 1604.0, 1028.0, 36.0], 7kszQMvhpo, 5682682]
[paragraph, [123.0, 1640.0, 1028.0, 36.0], 7kszQMvhpo, 5682682]
[paragraph, [123.0, 1676.0, 1028.0, 36.0], 7kszQMvhpo, 5682682]
[paragraph, [123.0, 1712.0, 1028.0, 36.0], 7kszQMvhpo, 5682682]
[paragraph, [123.0, 1748.0, 1028.0, 36.0], 7kszQMvhpo, 5682682]
[paragraph, [123.0, 1784.0, 1028.0, 36.0], 7kszQMvhpo, 5682682]
[paragraph, [123.0, 1820.0, 1028.0, 36.0], 7kszQMvhpo, 5682682]
