[1152, 739]
[paragraph, [102.0, 187.0, 535.0, 18.0], 3eY0blIRT_, 5741374]
[paragraph, [102.0, 205.0, 535.0, 18.0], 3eY0blIRT_, 5741374]
[paragraph, [102.0, 223.0, 535.0, 18.0], 3eY0blIRT_, 5741374]
[paragraph, [102.0, 241.0, 535.0, 18.0], 3eY0blIRT_, 5741374]
[paragraph, [102.0, 259.0, 535.0, 18.0], 3eY0blIRT_, 5741374]
[paragraph, [102.0, 277.0, 535.0, 18.0], 3eY0blIRT_, 5741374]
[paragraph, [102.0, 295.0, 535.0, 18.0], 3eY0blIRT_, 5741374]
[paragraph, [102.0, 313.0, 535.0, 18.0], 3eY0blIRT_, 5741374]
[paragraph, [102.0, 331.0, 535.0, 18.0], 3eY0blIRT_, 5741374]
[paragraph, [100.0, 363.0, 531.0, 18.0], _tgqkvUhgG, 5741374]
[paragraph, [100.0, 381.0, 531.0, 18.0], _tgqkvUhgG, 5741374]
[paragraph, [100.0, 399.0, 531.0, 18.0], _tgqkvUhgG, 5741374]
[paragraph, [100.0, 417.0, 531.0, 18.0], _tgqkvUhgG, 5741374]
[paragraph, [100.0, 435.0, 531.0, 18.0], _tgqkvUhgG, 5741374]
[paragraph, [100.0, 453.0, 531.0, 18.0], _tgqkvUhgG, 5741374]
[paragraph, [100.0, 471.0, 531.0, 18.0], _tgqkvUhgG, 5741374]
[paragraph, [100.0, 505.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 523.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 541.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 559.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 577.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 595.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 613.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 631.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 649.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 667.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 685.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 703.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 721.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 739.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 757.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 775.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 793.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 811.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 829.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [100.0, 847.0, 549.0, 18.0], Z3vMoQkEtJ, 5741374]
[paragraph, [142.0, 882.0, 492.0, 18.0], WVmqzLTBfc, 5741374]
[paragraph, [142.0, 900.0, 492.0, 18.0], WVmqzLTBfc, 5741374]
[footnote, [423.0, 1109.0, 266.0, 18.0], F1xiZwED3r, 5741374]
