[1987, 1270]
[folio, [591.0, 124.0, 88.0, 36.0], shoonya_0sU6PA6943J8H7, 5682632]
[paragraph, [128.0, 193.0, 1017.0, 36.0], p9xXGKblaP, 5682632]
[paragraph, [128.0, 229.0, 1017.0, 36.0], p9xXGKblaP, 5682632]
[paragraph, [128.0, 265.0, 1017.0, 36.0], p9xXGKblaP, 5682632]
[paragraph, [128.0, 301.0, 1017.0, 36.0], p9xXGKblaP, 5682632]
[paragraph, [128.0, 337.0, 1017.0, 36.0], p9xXGKblaP, 5682632]
[paragraph, [128.0, 373.0, 1017.0, 36.0], p9xXGKblaP, 5682632]
[paragraph, [128.0, 409.0, 1017.0, 36.0], p9xXGKblaP, 5682632]
[paragraph, [128.0, 445.0, 1017.0, 36.0], p9xXGKblaP, 5682632]
[paragraph, [128.0, 481.0, 1017.0, 36.0], p9xXGKblaP, 5682632]
[paragraph, [128.0, 517.0, 1017.0, 36.0], p9xXGKblaP, 5682632]
[paragraph, [128.0, 553.0, 1017.0, 36.0], p9xXGKblaP, 5682632]
[paragraph, [134.0, 615.0, 1014.0, 36.0], bkN5TagIlw, 5682632]
[paragraph, [134.0, 651.0, 1014.0, 36.0], bkN5TagIlw, 5682632]
[paragraph, [134.0, 687.0, 1014.0, 36.0], bkN5TagIlw, 5682632]
[paragraph, [134.0, 723.0, 1014.0, 36.0], bkN5TagIlw, 5682632]
[paragraph, [138.0, 777.0, 1008.0, 36.0], Z3TrLr0cX0, 5682632]
[paragraph, [138.0, 813.0, 1008.0, 36.0], Z3TrLr0cX0, 5682632]
[paragraph, [134.0, 880.0, 1011.0, 36.0], O-aJxX8_iD, 5682632]
[paragraph, [134.0, 916.0, 1011.0, 36.0], O-aJxX8_iD, 5682632]
[paragraph, [130.0, 983.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1019.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1055.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1091.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1127.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1163.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1199.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1235.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1271.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1307.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1343.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1379.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1415.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1451.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1487.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1523.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1559.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1595.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1631.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1667.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1703.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1739.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1775.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
[paragraph, [130.0, 1811.0, 1019.0, 36.0], eeoioQWMxW, 5682632]
