[1230, 741]
[paragraph, [81.0, 224.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 242.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 260.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 278.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 296.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 314.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 332.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 350.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 368.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 386.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 404.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 422.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 440.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 458.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 476.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 494.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 512.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 530.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 548.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 566.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 584.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 602.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 620.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 638.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 656.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 674.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 692.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 710.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 728.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 746.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 764.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 782.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 800.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 818.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 836.0, 313.0, 18.0], lQVdmIsESc, 5701650]
[paragraph, [81.0, 854.0, 313.0, 18.0], lQVdmIsESc, 5701650]
