[668, 446]
[paragraph, [61.0, 80.0, 346.0, 18.0], ARh4n6o3iB, 6494725]
[paragraph, [61.0, 98.0, 346.0, 18.0], ARh4n6o3iB, 6494725]
[paragraph, [61.0, 116.0, 346.0, 18.0], ARh4n6o3iB, 6494725]
[paragraph, [61.0, 134.0, 346.0, 18.0], ARh4n6o3iB, 6494725]
[paragraph, [61.0, 152.0, 346.0, 18.0], ARh4n6o3iB, 6494725]
[paragraph, [61.0, 170.0, 346.0, 18.0], ARh4n6o3iB, 6494725]
[paragraph, [61.0, 188.0, 346.0, 18.0], ARh4n6o3iB, 6494725]
[paragraph, [61.0, 206.0, 346.0, 18.0], ARh4n6o3iB, 6494725]
[paragraph, [61.0, 224.0, 346.0, 18.0], ARh4n6o3iB, 6494725]
[paragraph, [61.0, 242.0, 346.0, 18.0], ARh4n6o3iB, 6494725]
[paragraph, [61.0, 260.0, 346.0, 18.0], ARh4n6o3iB, 6494725]
[paragraph, [61.0, 278.0, 346.0, 18.0], ARh4n6o3iB, 6494725]
[paragraph, [58.0, 309.0, 350.0, 18.0], qn7YHjNLpq, 6494725]
[paragraph, [58.0, 327.0, 350.0, 18.0], qn7YHjNLpq, 6494725]
[paragraph, [58.0, 345.0, 350.0, 18.0], qn7YHjNLpq, 6494725]
[paragraph, [58.0, 363.0, 350.0, 18.0], qn7YHjNLpq, 6494725]
[paragraph, [58.0, 381.0, 350.0, 18.0], qn7YHjNLpq, 6494725]
[paragraph, [58.0, 399.0, 350.0, 18.0], qn7YHjNLpq, 6494725]
[paragraph, [58.0, 417.0, 350.0, 18.0], qn7YHjNLpq, 6494725]
[paragraph, [58.0, 435.0, 350.0, 18.0], qn7YHjNLpq, 6494725]
[paragraph, [58.0, 453.0, 350.0, 18.0], qn7YHjNLpq, 6494725]
[paragraph, [58.0, 471.0, 350.0, 18.0], qn7YHjNLpq, 6494725]
[paragraph, [58.0, 489.0, 350.0, 18.0], qn7YHjNLpq, 6494725]
[paragraph, [58.0, 507.0, 350.0, 18.0], qn7YHjNLpq, 6494725]
[paragraph, [58.0, 525.0, 350.0, 18.0], qn7YHjNLpq, 6494725]
[paragraph, [56.0, 548.0, 350.0, 18.0], -OBWlLzaK-, 6494725]
[paragraph, [56.0, 566.0, 350.0, 18.0], -OBWlLzaK-, 6494725]
[paragraph, [56.0, 584.0, 350.0, 18.0], -OBWlLzaK-, 6494725]
