[1650, 1275]
[paragraph, [194.0, 126.0, 896.0, 36.0], BEPFf4LQrB, 5714033]
[paragraph, [194.0, 162.0, 896.0, 36.0], BEPFf4LQrB, 5714033]
[paragraph, [194.0, 198.0, 896.0, 36.0], BEPFf4LQrB, 5714033]
[paragraph, [285.0, 282.0, 505.0, 36.0], 5ZPuDng6XM, 5714033]
[paragraph, [285.0, 318.0, 505.0, 36.0], 5ZPuDng6XM, 5714033]
[paragraph, [285.0, 354.0, 505.0, 36.0], 5ZPuDng6XM, 5714033]
[paragraph, [285.0, 390.0, 505.0, 36.0], 5ZPuDng6XM, 5714033]
[paragraph, [285.0, 426.0, 505.0, 36.0], 5ZPuDng6XM, 5714033]
[paragraph, [285.0, 462.0, 505.0, 36.0], 5ZPuDng6XM, 5714033]
[paragraph, [285.0, 498.0, 505.0, 36.0], 5ZPuDng6XM, 5714033]
[paragraph, [191.0, 563.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 599.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 635.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 671.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 707.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 743.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 779.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 815.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 851.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 887.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 923.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 959.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 995.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 1031.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 1067.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 1103.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 1139.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 1175.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 1211.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 1247.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 1283.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[paragraph, [191.0, 1319.0, 880.0, 36.0], shoonya_0sMCTUF4AZREZG, 5714033]
[footnote, [204.0, 1459.0, 185.0, 36.0], shoonya_1sP1SYDK49DX4N, 5714033]
