[2324, 1670]
[paragraph, [321.0, 202.0, 1179.0, 36.0], shoonya_1sQYFSLV0P2PO0, 5733841]
[paragraph, [321.0, 238.0, 1179.0, 36.0], shoonya_1sQYFSLV0P2PO0, 5733841]
[paragraph, [321.0, 274.0, 1179.0, 36.0], shoonya_1sQYFSLV0P2PO0, 5733841]
[paragraph, [321.0, 310.0, 1179.0, 36.0], shoonya_1sQYFSLV0P2PO0, 5733841]
[paragraph, [321.0, 346.0, 1179.0, 36.0], shoonya_1sQYFSLV0P2PO0, 5733841]
[paragraph, [321.0, 382.0, 1179.0, 36.0], shoonya_1sQYFSLV0P2PO0, 5733841]
[paragraph, [321.0, 418.0, 1179.0, 36.0], shoonya_1sQYFSLV0P2PO0, 5733841]
[paragraph, [321.0, 454.0, 1179.0, 36.0], shoonya_1sQYFSLV0P2PO0, 5733841]
[paragraph, [321.0, 490.0, 1179.0, 36.0], shoonya_1sQYFSLV0P2PO0, 5733841]
[paragraph, [321.0, 526.0, 1179.0, 36.0], shoonya_1sQYFSLV0P2PO0, 5733841]
[paragraph, [321.0, 562.0, 1179.0, 36.0], shoonya_1sQYFSLV0P2PO0, 5733841]
[paragraph, [321.0, 598.0, 1179.0, 36.0], shoonya_1sQYFSLV0P2PO0, 5733841]
[paragraph, [321.0, 634.0, 1179.0, 36.0], shoonya_1sQYFSLV0P2PO0, 5733841]
[paragraph, [321.0, 670.0, 1179.0, 36.0], shoonya_1sQYFSLV0P2PO0, 5733841]
[paragraph, [317.0, 781.0, 1177.0, 36.0], shoonya_0s7U26DIZHBK3O, 5733841]
[paragraph, [317.0, 817.0, 1177.0, 36.0], shoonya_0s7U26DIZHBK3O, 5733841]
[paragraph, [317.0, 853.0, 1177.0, 36.0], shoonya_0s7U26DIZHBK3O, 5733841]
[paragraph, [317.0, 889.0, 1177.0, 36.0], shoonya_0s7U26DIZHBK3O, 5733841]
[paragraph, [317.0, 925.0, 1177.0, 36.0], shoonya_0s7U26DIZHBK3O, 5733841]
[paragraph, [317.0, 961.0, 1177.0, 36.0], shoonya_0s7U26DIZHBK3O, 5733841]
[paragraph, [317.0, 997.0, 1177.0, 36.0], shoonya_0s7U26DIZHBK3O, 5733841]
[paragraph, [317.0, 1033.0, 1177.0, 36.0], shoonya_0s7U26DIZHBK3O, 5733841]
[paragraph, [317.0, 1069.0, 1177.0, 36.0], shoonya_0s7U26DIZHBK3O, 5733841]
[paragraph, [317.0, 1105.0, 1177.0, 36.0], shoonya_0s7U26DIZHBK3O, 5733841]
[paragraph, [317.0, 1141.0, 1177.0, 36.0], shoonya_0s7U26DIZHBK3O, 5733841]
[paragraph, [317.0, 1177.0, 1177.0, 36.0], shoonya_0s7U26DIZHBK3O, 5733841]
[paragraph, [317.0, 1213.0, 1177.0, 36.0], shoonya_0s7U26DIZHBK3O, 5733841]
[paragraph, [312.0, 1394.0, 1180.0, 36.0], shoonya_2sQ525G4WPJEDN, 5733841]
[paragraph, [312.0, 1430.0, 1180.0, 36.0], shoonya_2sQ525G4WPJEDN, 5733841]
[paragraph, [312.0, 1466.0, 1180.0, 36.0], shoonya_2sQ525G4WPJEDN, 5733841]
[paragraph, [312.0, 1502.0, 1180.0, 36.0], shoonya_2sQ525G4WPJEDN, 5733841]
[paragraph, [312.0, 1538.0, 1180.0, 36.0], shoonya_2sQ525G4WPJEDN, 5733841]
[paragraph, [312.0, 1574.0, 1180.0, 36.0], shoonya_2sQ525G4WPJEDN, 5733841]
[paragraph, [312.0, 1610.0, 1180.0, 36.0], shoonya_2sQ525G4WPJEDN, 5733841]
[paragraph, [312.0, 1646.0, 1180.0, 36.0], shoonya_2sQ525G4WPJEDN, 5733841]
[paragraph, [312.0, 1682.0, 1180.0, 36.0], shoonya_2sQ525G4WPJEDN, 5733841]
[paragraph, [312.0, 1718.0, 1180.0, 36.0], shoonya_2sQ525G4WPJEDN, 5733841]
[paragraph, [312.0, 1754.0, 1180.0, 36.0], shoonya_2sQ525G4WPJEDN, 5733841]
[paragraph, [312.0, 1790.0, 1180.0, 36.0], shoonya_2sQ525G4WPJEDN, 5733841]
[paragraph, [312.0, 1826.0, 1180.0, 36.0], shoonya_2sQ525G4WPJEDN, 5733841]
[paragraph, [309.0, 1918.0, 1187.0, 36.0], shoonya_5sWYMTTEGV2GNS, 5733841]
