[1004, 650]
[paragraph, [51.0, 101.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 119.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 137.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 155.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 173.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 191.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 209.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 227.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 245.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 263.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 281.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 299.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 317.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 335.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 353.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 371.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 389.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 407.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 425.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 443.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 461.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [51.0, 479.0, 555.0, 18.0], 360DCW6KYx, 5740705]
[paragraph, [56.0, 514.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 532.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 550.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 568.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 586.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 604.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 622.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 640.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 658.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 676.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 694.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 712.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 730.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 748.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 766.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 784.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 802.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 820.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 838.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 856.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 874.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 892.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 910.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[paragraph, [56.0, 928.0, 531.0, 18.0], UWlSlJqVmo, 5740705]
[footnote, [351.0, 969.0, 238.0, 18.0], 5oFyA3jmTs, 5740705]
