[1763, 1275]
[paragraph, [644.0, 58.0, 602.0, 36.0], shoonya_7s01UE7Y319KI4, 5713067]
[paragraph, [644.0, 94.0, 602.0, 36.0], shoonya_7s01UE7Y319KI4, 5713067]
[paragraph, [38.0, 72.0, 589.0, 36.0], shoonya_0sM8MLZ3LCM9WV, 5713067]
[paragraph, [38.0, 108.0, 589.0, 36.0], shoonya_0sM8MLZ3LCM9WV, 5713067]
[paragraph, [38.0, 144.0, 589.0, 36.0], shoonya_0sM8MLZ3LCM9WV, 5713067]
[paragraph, [38.0, 180.0, 589.0, 36.0], shoonya_0sM8MLZ3LCM9WV, 5713067]
[paragraph, [38.0, 216.0, 589.0, 36.0], shoonya_0sM8MLZ3LCM9WV, 5713067]
[paragraph, [38.0, 252.0, 589.0, 36.0], shoonya_0sM8MLZ3LCM9WV, 5713067]
[paragraph, [38.0, 288.0, 589.0, 36.0], shoonya_0sM8MLZ3LCM9WV, 5713067]
[paragraph, [38.0, 324.0, 589.0, 36.0], shoonya_0sM8MLZ3LCM9WV, 5713067]
[paragraph, [38.0, 360.0, 589.0, 36.0], shoonya_0sM8MLZ3LCM9WV, 5713067]
[paragraph, [641.0, 199.0, 605.0, 36.0], shoonya_8sWEJ1X2OV1RM1, 5713067]
[paragraph, [641.0, 235.0, 605.0, 36.0], shoonya_8sWEJ1X2OV1RM1, 5713067]
[paragraph, [641.0, 271.0, 605.0, 36.0], shoonya_8sWEJ1X2OV1RM1, 5713067]
[paragraph, [641.0, 307.0, 605.0, 36.0], shoonya_8sWEJ1X2OV1RM1, 5713067]
[paragraph, [642.0, 343.0, 605.0, 36.0], shoonya_9sQGISQUI5APHL, 5713067]
[paragraph, [642.0, 379.0, 605.0, 36.0], shoonya_9sQGISQUI5APHL, 5713067]
[paragraph, [38.0, 420.0, 589.0, 36.0], shoonya_1sXWF60EFSCWB4, 5713067]
[paragraph, [38.0, 456.0, 589.0, 36.0], shoonya_1sXWF60EFSCWB4, 5713067]
[paragraph, [38.0, 492.0, 589.0, 36.0], shoonya_1sXWF60EFSCWB4, 5713067]
[paragraph, [38.0, 528.0, 589.0, 36.0], shoonya_1sXWF60EFSCWB4, 5713067]
[paragraph, [38.0, 564.0, 589.0, 36.0], shoonya_1sXWF60EFSCWB4, 5713067]
[paragraph, [38.0, 600.0, 589.0, 36.0], shoonya_1sXWF60EFSCWB4, 5713067]
[paragraph, [641.0, 441.0, 617.0, 36.0], shoonya_10sY0KNGAKR0XD, 5713067]
[paragraph, [641.0, 477.0, 617.0, 36.0], shoonya_10sY0KNGAKR0XD, 5713067]
[paragraph, [641.0, 513.0, 617.0, 36.0], shoonya_10sY0KNGAKR0XD, 5713067]
[paragraph, [37.0, 649.0, 589.0, 36.0], shoonya_2sWPXKAMDGTCFH, 5713067]
[paragraph, [37.0, 685.0, 589.0, 36.0], shoonya_2sWPXKAMDGTCFH, 5713067]
[paragraph, [37.0, 721.0, 589.0, 36.0], shoonya_2sWPXKAMDGTCFH, 5713067]
[paragraph, [38.0, 787.0, 590.0, 36.0], shoonya_3sYGH9Y1R2PE3B, 5713067]
[paragraph, [38.0, 823.0, 590.0, 36.0], shoonya_3sYGH9Y1R2PE3B, 5713067]
[paragraph, [38.0, 859.0, 590.0, 36.0], shoonya_3sYGH9Y1R2PE3B, 5713067]
[paragraph, [38.0, 895.0, 590.0, 36.0], shoonya_3sYGH9Y1R2PE3B, 5713067]
[paragraph, [38.0, 931.0, 590.0, 36.0], shoonya_3sYGH9Y1R2PE3B, 5713067]
[paragraph, [38.0, 967.0, 590.0, 36.0], shoonya_3sYGH9Y1R2PE3B, 5713067]
[paragraph, [38.0, 1003.0, 590.0, 36.0], shoonya_3sYGH9Y1R2PE3B, 5713067]
[paragraph, [38.0, 1039.0, 590.0, 36.0], shoonya_3sYGH9Y1R2PE3B, 5713067]
[paragraph, [38.0, 1075.0, 590.0, 36.0], shoonya_3sYGH9Y1R2PE3B, 5713067]
[paragraph, [38.0, 1111.0, 590.0, 36.0], shoonya_3sYGH9Y1R2PE3B, 5713067]
[paragraph, [38.0, 1147.0, 590.0, 36.0], shoonya_3sYGH9Y1R2PE3B, 5713067]
[paragraph, [38.0, 1183.0, 590.0, 36.0], shoonya_3sYGH9Y1R2PE3B, 5713067]
[paragraph, [38.0, 1219.0, 590.0, 36.0], shoonya_3sYGH9Y1R2PE3B, 5713067]
[paragraph, [38.0, 1278.0, 475.0, 36.0], shoonya_4sYD1CY2IKMV4L, 5713067]
[paragraph, [38.0, 1316.0, 591.0, 36.0], shoonya_5sY7HAAJ3L93R6, 5713067]
[paragraph, [38.0, 1352.0, 591.0, 36.0], shoonya_5sY7HAAJ3L93R6, 5713067]
[paragraph, [38.0, 1388.0, 591.0, 36.0], shoonya_5sY7HAAJ3L93R6, 5713067]
[paragraph, [38.0, 1424.0, 591.0, 36.0], shoonya_5sY7HAAJ3L93R6, 5713067]
[paragraph, [38.0, 1460.0, 591.0, 36.0], shoonya_5sY7HAAJ3L93R6, 5713067]
[paragraph, [38.0, 1496.0, 591.0, 36.0], shoonya_5sY7HAAJ3L93R6, 5713067]
[paragraph, [38.0, 1542.0, 592.0, 36.0], shoonya_6sCSFUW5YVDXZI, 5713067]
[paragraph, [38.0, 1578.0, 592.0, 36.0], shoonya_6sCSFUW5YVDXZI, 5713067]
[paragraph, [38.0, 1614.0, 592.0, 36.0], shoonya_6sCSFUW5YVDXZI, 5713067]
[folio, [29.0, 1696.0, 126.0, 36.0], shoonya_11sRQ2HNQ9ZGTX, 5713067]
