[1650, 1275]
[folio, [851.0, 38.0, 282.0, 36.0], V-PtcyWp52, 5774717]
[ordered-list, [127.0, 205.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 241.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 277.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 313.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 349.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 385.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 421.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 457.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 493.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 529.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 565.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 601.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 637.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 673.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 709.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 745.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 781.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 817.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 853.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 889.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 925.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 961.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 997.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 1033.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 1069.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 1105.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 1141.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 1177.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 1213.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 1249.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 1285.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 1321.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 1357.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 1393.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[ordered-list, [127.0, 1429.0, 1063.0, 36.0], QCj6WxMjnC, 5774717]
[second-level-question, [205.0, 585.0, 879.0, 36.0], shoonya_7s6OHF21G1TBFM, 5774717]
[unordered-list, [252.0, 621.0, 618.0, 36.0], shoonya_1sC8MIGSIAMJ9Z, 5774717]
[unordered-list, [252.0, 657.0, 618.0, 36.0], shoonya_1sC8MIGSIAMJ9Z, 5774717]
[unordered-list, [252.0, 693.0, 618.0, 36.0], shoonya_1sC8MIGSIAMJ9Z, 5774717]
[unordered-list, [252.0, 729.0, 618.0, 36.0], shoonya_1sC8MIGSIAMJ9Z, 5774717]
[unordered-list, [252.0, 765.0, 618.0, 36.0], shoonya_1sC8MIGSIAMJ9Z, 5774717]
[unordered-list, [252.0, 801.0, 618.0, 36.0], shoonya_1sC8MIGSIAMJ9Z, 5774717]
[second-level-question, [168.0, 861.0, 943.0, 36.0], shoonya_6sE60GXOR0DCTX, 5774717]
[ordered-list, [166.0, 1276.0, 884.0, 36.0], shoonya_5s92DZ76W7P8IZ, 5774717]
[ordered-list, [166.0, 1312.0, 884.0, 36.0], shoonya_5s92DZ76W7P8IZ, 5774717]
[ordered-list, [166.0, 1348.0, 884.0, 36.0], shoonya_5s92DZ76W7P8IZ, 5774717]
[ordered-list, [166.0, 1384.0, 884.0, 36.0], shoonya_5s92DZ76W7P8IZ, 5774717]
[ordered-list, [166.0, 1420.0, 884.0, 36.0], shoonya_5s92DZ76W7P8IZ, 5774717]
[second-level-question, [207.0, 1429.0, 762.0, 36.0], shoonya_10sPQEPUIUZXZY, 5774717]
[paragraph, [141.0, 1573.0, 533.0, 36.0], bq-Hr30044, 5774717]
[website-link, [422.0, 1579.0, 245.0, 18.0], I1W39nfJ4T, 5774717]
