[789, 571]
[folio, [247.0, 50.0, 67.0, 18.0], shoonya_0sC39ARW3SOSAX, 5702345]
[paragraph, [48.0, 90.0, 466.0, 18.0], shoonya_2sCEJOWA5AE02X, 5702345]
[paragraph, [48.0, 108.0, 466.0, 18.0], shoonya_2sCEJOWA5AE02X, 5702345]
[paragraph, [48.0, 126.0, 466.0, 18.0], shoonya_2sCEJOWA5AE02X, 5702345]
[paragraph, [48.0, 144.0, 466.0, 18.0], shoonya_2sCEJOWA5AE02X, 5702345]
[paragraph, [48.0, 162.0, 466.0, 18.0], shoonya_2sCEJOWA5AE02X, 5702345]
[paragraph, [48.0, 180.0, 466.0, 18.0], shoonya_2sCEJOWA5AE02X, 5702345]
[paragraph, [48.0, 198.0, 466.0, 18.0], shoonya_2sCEJOWA5AE02X, 5702345]
[paragraph, [48.0, 216.0, 466.0, 18.0], shoonya_2sCEJOWA5AE02X, 5702345]
[paragraph, [34.0, 245.0, 483.0, 18.0], 8IkgXLj1N9, 5702345]
[paragraph, [34.0, 263.0, 483.0, 18.0], 8IkgXLj1N9, 5702345]
[paragraph, [34.0, 281.0, 483.0, 18.0], 8IkgXLj1N9, 5702345]
[paragraph, [34.0, 299.0, 483.0, 18.0], 8IkgXLj1N9, 5702345]
[paragraph, [34.0, 317.0, 483.0, 18.0], 8IkgXLj1N9, 5702345]
[paragraph, [34.0, 335.0, 483.0, 18.0], 8IkgXLj1N9, 5702345]
[paragraph, [34.0, 353.0, 483.0, 18.0], 8IkgXLj1N9, 5702345]
[paragraph, [28.0, 380.0, 492.0, 18.0], s0O0zzBa2c, 5702345]
[paragraph, [28.0, 398.0, 492.0, 18.0], s0O0zzBa2c, 5702345]
[paragraph, [28.0, 416.0, 492.0, 18.0], s0O0zzBa2c, 5702345]
[paragraph, [36.0, 450.0, 471.0, 18.0], 7O7saxrGKE, 5702345]
[paragraph, [36.0, 468.0, 471.0, 18.0], 7O7saxrGKE, 5702345]
[paragraph, [36.0, 486.0, 471.0, 18.0], 7O7saxrGKE, 5702345]
[paragraph, [36.0, 504.0, 471.0, 18.0], 7O7saxrGKE, 5702345]
[paragraph, [36.0, 522.0, 471.0, 18.0], 7O7saxrGKE, 5702345]
[paragraph, [35.0, 543.0, 486.0, 18.0], OWmGpTdvwu, 5702345]
[paragraph, [35.0, 561.0, 486.0, 18.0], OWmGpTdvwu, 5702345]
[paragraph, [35.0, 579.0, 486.0, 18.0], OWmGpTdvwu, 5702345]
[paragraph, [35.0, 597.0, 486.0, 18.0], OWmGpTdvwu, 5702345]
[paragraph, [35.0, 615.0, 486.0, 18.0], OWmGpTdvwu, 5702345]
[paragraph, [35.0, 633.0, 486.0, 18.0], OWmGpTdvwu, 5702345]
[paragraph, [35.0, 651.0, 486.0, 18.0], OWmGpTdvwu, 5702345]
[paragraph, [35.0, 669.0, 486.0, 18.0], OWmGpTdvwu, 5702345]
[paragraph, [35.0, 687.0, 486.0, 18.0], OWmGpTdvwu, 5702345]
[paragraph, [35.0, 705.0, 486.0, 18.0], OWmGpTdvwu, 5702345]
