[2339, 1654]
[folio, [1284.0, 47.0, 253.0, 36.0], H59IVppNdT, 5750443]
[paragraph, [101.0, 99.0, 761.0, 36.0], aMKQ2Q7riL, 5750443]
[paragraph, [231.0, 174.0, 1141.0, 36.0], shoonya_0sE8KGU6WMSV78, 5750443]
[paragraph, [231.0, 210.0, 1141.0, 36.0], shoonya_0sE8KGU6WMSV78, 5750443]
[paragraph, [231.0, 246.0, 1141.0, 36.0], shoonya_0sE8KGU6WMSV78, 5750443]
[paragraph, [231.0, 282.0, 1141.0, 36.0], shoonya_0sE8KGU6WMSV78, 5750443]
[paragraph, [231.0, 318.0, 1141.0, 36.0], shoonya_0sE8KGU6WMSV78, 5750443]
[paragraph, [231.0, 354.0, 1141.0, 36.0], shoonya_0sE8KGU6WMSV78, 5750443]
[paragraph, [231.0, 390.0, 1141.0, 36.0], shoonya_0sE8KGU6WMSV78, 5750443]
[paragraph, [231.0, 426.0, 1141.0, 36.0], shoonya_0sE8KGU6WMSV78, 5750443]
[paragraph, [231.0, 462.0, 1141.0, 36.0], shoonya_0sE8KGU6WMSV78, 5750443]
[paragraph, [231.0, 498.0, 1141.0, 36.0], shoonya_0sE8KGU6WMSV78, 5750443]
[paragraph, [231.0, 534.0, 1141.0, 36.0], shoonya_0sE8KGU6WMSV78, 5750443]
[paragraph, [231.0, 570.0, 1141.0, 36.0], shoonya_0sE8KGU6WMSV78, 5750443]
[paragraph, [231.0, 606.0, 1141.0, 36.0], shoonya_0sE8KGU6WMSV78, 5750443]
[paragraph, [231.0, 642.0, 1141.0, 36.0], shoonya_0sE8KGU6WMSV78, 5750443]
[paragraph, [231.0, 678.0, 1141.0, 36.0], shoonya_0sE8KGU6WMSV78, 5750443]
[paragraph, [231.0, 714.0, 1141.0, 36.0], shoonya_0sE8KGU6WMSV78, 5750443]
[paragraph, [231.0, 750.0, 1141.0, 36.0], shoonya_0sE8KGU6WMSV78, 5750443]
[paragraph, [75.0, 882.0, 1440.0, 36.0], shoonya_1sQ2IAOKNVO5IO, 5750443]
[paragraph, [75.0, 918.0, 1440.0, 36.0], shoonya_1sQ2IAOKNVO5IO, 5750443]
[paragraph, [75.0, 954.0, 1440.0, 36.0], shoonya_1sQ2IAOKNVO5IO, 5750443]
[paragraph, [75.0, 990.0, 1440.0, 36.0], shoonya_1sQ2IAOKNVO5IO, 5750443]
[paragraph, [75.0, 1026.0, 1440.0, 36.0], shoonya_1sQ2IAOKNVO5IO, 5750443]
[paragraph, [75.0, 1062.0, 1440.0, 36.0], shoonya_1sQ2IAOKNVO5IO, 5750443]
[paragraph, [75.0, 1098.0, 1440.0, 36.0], shoonya_1sQ2IAOKNVO5IO, 5750443]
[paragraph, [75.0, 1134.0, 1440.0, 36.0], shoonya_1sQ2IAOKNVO5IO, 5750443]
[paragraph, [75.0, 1170.0, 1440.0, 36.0], shoonya_1sQ2IAOKNVO5IO, 5750443]
