[681, 511]
[section-title, [36.0, 59.0, 443.0, 30.0], shoonya_9sR3GA5VQQC17T, 5761750]
[section-title, [36.0, 89.0, 443.0, 30.0], shoonya_9sR3GA5VQQC17T, 5761750]
[section-title, [36.0, 119.0, 443.0, 30.0], shoonya_9sR3GA5VQQC17T, 5761750]
[section-title, [36.0, 149.0, 443.0, 30.0], shoonya_9sR3GA5VQQC17T, 5761750]
[section-title, [36.0, 179.0, 443.0, 30.0], shoonya_9sR3GA5VQQC17T, 5761750]
[paragraph, [32.0, 262.0, 298.0, 18.0], shoonya_0sMV6YEBKMT624, 5761750]
[paragraph, [32.0, 280.0, 298.0, 18.0], shoonya_0sMV6YEBKMT624, 5761750]
[paragraph, [32.0, 298.0, 298.0, 18.0], shoonya_0sMV6YEBKMT624, 5761750]
[paragraph, [32.0, 316.0, 298.0, 18.0], shoonya_0sMV6YEBKMT624, 5761750]
[paragraph, [32.0, 334.0, 298.0, 18.0], shoonya_0sMV6YEBKMT624, 5761750]
[paragraph, [32.0, 352.0, 298.0, 18.0], shoonya_0sMV6YEBKMT624, 5761750]
[sidebar, [332.0, 276.0, 135.0, 18.0], YC1IAtfsXY, 5761750]
[sidebar, [332.0, 294.0, 135.0, 18.0], YC1IAtfsXY, 5761750]
[sidebar, [332.0, 312.0, 135.0, 18.0], YC1IAtfsXY, 5761750]
[sidebar, [332.0, 330.0, 135.0, 18.0], YC1IAtfsXY, 5761750]
[paragraph, [259.0, 432.0, 216.0, 18.0], shoonya_2s07B6UBK6EFFJ, 5761750]
[paragraph, [259.0, 450.0, 216.0, 18.0], shoonya_2s07B6UBK6EFFJ, 5761750]
[paragraph, [259.0, 468.0, 216.0, 18.0], shoonya_2s07B6UBK6EFFJ, 5761750]
[paragraph, [259.0, 486.0, 216.0, 18.0], shoonya_2s07B6UBK6EFFJ, 5761750]
[paragraph, [33.0, 454.0, 215.0, 18.0], shoonya_1sUX5E614RD6D9, 5761750]
[paragraph, [33.0, 472.0, 215.0, 18.0], shoonya_1sUX5E614RD6D9, 5761750]
[paragraph, [33.0, 490.0, 215.0, 18.0], shoonya_1sUX5E614RD6D9, 5761750]
[paragraph, [33.0, 508.0, 215.0, 18.0], shoonya_1sUX5E614RD6D9, 5761750]
[paragraph, [33.0, 526.0, 215.0, 18.0], shoonya_1sUX5E614RD6D9, 5761750]
[paragraph, [33.0, 544.0, 215.0, 18.0], shoonya_1sUX5E614RD6D9, 5761750]
[paragraph, [33.0, 562.0, 215.0, 18.0], shoonya_1sUX5E614RD6D9, 5761750]
[paragraph, [260.0, 540.0, 215.0, 18.0], shoonya_8s8DRFJ3BQPTSA, 5761750]
[paragraph, [260.0, 558.0, 215.0, 18.0], shoonya_8s8DRFJ3BQPTSA, 5761750]
[paragraph, [260.0, 576.0, 215.0, 18.0], shoonya_8s8DRFJ3BQPTSA, 5761750]
