[7016, 4961]
[headline, [284.0, 37.0, 4434.0, 52.5], dVqt5QGB4k, 6473924]
[headline, [284.0, 89.5, 4434.0, 52.5], dVqt5QGB4k, 6473924]
[headline, [284.0, 142.0, 4434.0, 52.5], dVqt5QGB4k, 6473924]
[headline, [284.0, 194.5, 4434.0, 52.5], dVqt5QGB4k, 6473924]
[headline, [284.0, 247.0, 4434.0, 52.5], dVqt5QGB4k, 6473924]
[headline, [284.0, 299.5, 4434.0, 52.5], dVqt5QGB4k, 6473924]
[headline, [284.0, 352.0, 4434.0, 52.5], dVqt5QGB4k, 6473924]
[headline, [284.0, 404.5, 4434.0, 52.5], dVqt5QGB4k, 6473924]
[headline, [284.0, 457.0, 4434.0, 52.5], dVqt5QGB4k, 6473924]
[headline, [284.0, 509.5, 4434.0, 52.5], dVqt5QGB4k, 6473924]
[headline, [284.0, 562.0, 4434.0, 52.5], dVqt5QGB4k, 6473924]
[headline, [284.0, 614.5, 4434.0, 52.5], dVqt5QGB4k, 6473924]
[headline, [284.0, 667.0, 4434.0, 52.5], dVqt5QGB4k, 6473924]
[paragraph, [3790.0, 2117.0, 668.0, 52.5], s8zNMLKKsJ, 6473924]
[paragraph, [3790.0, 2169.5, 668.0, 52.5], s8zNMLKKsJ, 6473924]
[paragraph, [3790.0, 2222.0, 668.0, 52.5], s8zNMLKKsJ, 6473924]
[paragraph, [3790.0, 2274.5, 668.0, 52.5], s8zNMLKKsJ, 6473924]
[paragraph, [3790.0, 2327.0, 668.0, 52.5], s8zNMLKKsJ, 6473924]
[paragraph, [3790.0, 2379.5, 668.0, 52.5], s8zNMLKKsJ, 6473924]
[paragraph, [3790.0, 2432.0, 668.0, 52.5], s8zNMLKKsJ, 6473924]
[paragraph, [3790.0, 2484.5, 668.0, 52.5], s8zNMLKKsJ, 6473924]
[paragraph, [3790.0, 2537.0, 668.0, 52.5], s8zNMLKKsJ, 6473924]
[paragraph, [3790.0, 2589.5, 668.0, 52.5], s8zNMLKKsJ, 6473924]
[paragraph, [3790.0, 2642.0, 668.0, 52.5], s8zNMLKKsJ, 6473924]
[paragraph, [340.0, 2402.0, 854.0, 52.5], Pdb2ASbza0, 6473924]
[paragraph, [340.0, 2454.5, 854.0, 52.5], Pdb2ASbza0, 6473924]
[paragraph, [340.0, 2507.0, 854.0, 52.5], Pdb2ASbza0, 6473924]
[paragraph, [340.0, 2559.5, 854.0, 52.5], Pdb2ASbza0, 6473924]
[paragraph, [340.0, 2612.0, 854.0, 52.5], Pdb2ASbza0, 6473924]
[paragraph, [340.0, 2664.5, 854.0, 52.5], Pdb2ASbza0, 6473924]
[paragraph, [340.0, 2717.0, 854.0, 52.5], Pdb2ASbza0, 6473924]
[paragraph, [340.0, 2769.5, 854.0, 52.5], Pdb2ASbza0, 6473924]
[paragraph, [340.0, 2822.0, 854.0, 52.5], Pdb2ASbza0, 6473924]
[paragraph, [3617.0, 3665.0, 1096.0, 52.5], uf2Ng2SHqT, 6473924]
[paragraph, [3617.0, 3717.5, 1096.0, 52.5], uf2Ng2SHqT, 6473924]
[paragraph, [3617.0, 3770.0, 1096.0, 52.5], uf2Ng2SHqT, 6473924]
[paragraph, [3617.0, 3822.5, 1096.0, 52.5], uf2Ng2SHqT, 6473924]
[paragraph, [3617.0, 3875.0, 1096.0, 52.5], uf2Ng2SHqT, 6473924]
[paragraph, [3617.0, 3927.5, 1096.0, 52.5], uf2Ng2SHqT, 6473924]
[paragraph, [3617.0, 3980.0, 1096.0, 52.5], uf2Ng2SHqT, 6473924]
[paragraph, [3617.0, 4032.5, 1096.0, 52.5], uf2Ng2SHqT, 6473924]
[paragraph, [3617.0, 4085.0, 1096.0, 52.5], uf2Ng2SHqT, 6473924]
[paragraph, [3617.0, 4137.5, 1096.0, 52.5], uf2Ng2SHqT, 6473924]
[paragraph, [3617.0, 4190.0, 1096.0, 52.5], uf2Ng2SHqT, 6473924]
[paragraph, [365.0, 3882.0, 575.0, 52.5], yN2Z99kVzQ, 6473924]
[paragraph, [365.0, 3934.5, 575.0, 52.5], yN2Z99kVzQ, 6473924]
[paragraph, [365.0, 3987.0, 575.0, 52.5], yN2Z99kVzQ, 6473924]
[paragraph, [365.0, 4039.5, 575.0, 52.5], yN2Z99kVzQ, 6473924]
[paragraph, [365.0, 4092.0, 575.0, 52.5], yN2Z99kVzQ, 6473924]
[paragraph, [365.0, 4144.5, 575.0, 52.5], yN2Z99kVzQ, 6473924]
[paragraph, [365.0, 4197.0, 575.0, 52.5], yN2Z99kVzQ, 6473924]
