[1650, 1275]
[section-title, [576.0, 146.0, 218.0, 49.5], wp0d0YOsZn, 5729802]
[headline, [313.0, 235.0, 749.0, 37.5], SKFd14POJk, 5729802]
[paragraph, [141.0, 318.0, 873.0, 36.0], bPPaTDrqkB, 5729802]
[paragraph, [141.0, 354.0, 873.0, 36.0], bPPaTDrqkB, 5729802]
[ordered-list, [173.0, 420.0, 988.0, 36.0], V_YEcLF3q8, 5729802]
[ordered-list, [173.0, 456.0, 988.0, 36.0], V_YEcLF3q8, 5729802]
[ordered-list, [173.0, 492.0, 988.0, 36.0], V_YEcLF3q8, 5729802]
[ordered-list, [173.0, 528.0, 988.0, 36.0], V_YEcLF3q8, 5729802]
[ordered-list, [173.0, 564.0, 988.0, 36.0], V_YEcLF3q8, 5729802]
[ordered-list, [173.0, 600.0, 988.0, 36.0], V_YEcLF3q8, 5729802]
[ordered-list, [173.0, 636.0, 988.0, 36.0], V_YEcLF3q8, 5729802]
[ordered-list, [173.0, 672.0, 988.0, 36.0], V_YEcLF3q8, 5729802]
[paragraph, [138.0, 747.0, 1021.0, 36.0], IvT2EjziWE, 5729802]
[paragraph, [138.0, 783.0, 1021.0, 36.0], IvT2EjziWE, 5729802]
[paragraph, [138.0, 819.0, 1021.0, 36.0], IvT2EjziWE, 5729802]
[paragraph, [138.0, 855.0, 1021.0, 36.0], IvT2EjziWE, 5729802]
[paragraph, [138.0, 891.0, 1021.0, 36.0], IvT2EjziWE, 5729802]
[paragraph, [138.0, 927.0, 1021.0, 36.0], IvT2EjziWE, 5729802]
[ordered-list, [165.0, 983.0, 997.0, 36.0], jhCOt2W56v, 5729802]
[ordered-list, [165.0, 1019.0, 997.0, 36.0], jhCOt2W56v, 5729802]
[ordered-list, [165.0, 1055.0, 997.0, 36.0], jhCOt2W56v, 5729802]
[ordered-list, [165.0, 1091.0, 997.0, 36.0], jhCOt2W56v, 5729802]
[ordered-list, [165.0, 1127.0, 997.0, 36.0], jhCOt2W56v, 5729802]
[ordered-list, [165.0, 1163.0, 997.0, 36.0], jhCOt2W56v, 5729802]
[paragraph, [140.0, 1229.0, 1019.0, 36.0], bQKez0CVWq, 5729802]
[paragraph, [140.0, 1265.0, 1019.0, 36.0], bQKez0CVWq, 5729802]
[paragraph, [140.0, 1301.0, 1019.0, 36.0], bQKez0CVWq, 5729802]
[paragraph, [140.0, 1337.0, 1019.0, 36.0], bQKez0CVWq, 5729802]
[paragraph, [140.0, 1373.0, 1019.0, 36.0], bQKez0CVWq, 5729802]
[paragraph, [140.0, 1409.0, 1019.0, 36.0], bQKez0CVWq, 5729802]
[paragraph, [140.0, 1445.0, 1019.0, 36.0], bQKez0CVWq, 5729802]
