[2200, 1700]
[sub-section-title, [662.0, 333.0, 379.0, 55.5], Dk41LWRwn3, 5659076]
[section-title, [194.0, 513.0, 514.0, 52.5], shoonya_2sQFOHYU4B7YQC, 5659076]
[unordered-list, [233.0, 583.0, 511.0, 36.0], w7D3TO_IDl, 5659076]
[unordered-list, [233.0, 619.0, 511.0, 36.0], w7D3TO_IDl, 5659076]
[unordered-list, [233.0, 655.0, 511.0, 36.0], w7D3TO_IDl, 5659076]
[unordered-list, [233.0, 691.0, 511.0, 36.0], w7D3TO_IDl, 5659076]
[unordered-list, [233.0, 727.0, 511.0, 36.0], w7D3TO_IDl, 5659076]
[unordered-list, [233.0, 763.0, 511.0, 36.0], w7D3TO_IDl, 5659076]
[unordered-list, [239.0, 898.0, 651.0, 36.0], fg_YcNTts6, 5659076]
[unordered-list, [239.0, 934.0, 651.0, 36.0], fg_YcNTts6, 5659076]
[unordered-list, [239.0, 970.0, 651.0, 36.0], fg_YcNTts6, 5659076]
[unordered-list, [239.0, 1006.0, 651.0, 36.0], fg_YcNTts6, 5659076]
[unordered-list, [239.0, 1042.0, 651.0, 36.0], fg_YcNTts6, 5659076]
[unordered-list, [239.0, 1078.0, 651.0, 36.0], fg_YcNTts6, 5659076]
[section-title, [178.0, 1144.0, 551.0, 52.5], jbqWtslEPD, 5659076]
[unordered-list, [241.0, 1206.0, 415.0, 36.0], qHlpfw5QS4, 5659076]
[unordered-list, [241.0, 1242.0, 415.0, 36.0], qHlpfw5QS4, 5659076]
[unordered-list, [241.0, 1278.0, 415.0, 36.0], qHlpfw5QS4, 5659076]
[unordered-list, [241.0, 1314.0, 415.0, 36.0], qHlpfw5QS4, 5659076]
[unordered-list, [241.0, 1350.0, 415.0, 36.0], qHlpfw5QS4, 5659076]
[unordered-list, [241.0, 1386.0, 415.0, 36.0], qHlpfw5QS4, 5659076]
[unordered-list, [230.0, 1523.0, 488.0, 36.0], shoonya_0s3FIQYPW9CF20, 5659076]
[unordered-list, [230.0, 1559.0, 488.0, 36.0], shoonya_0s3FIQYPW9CF20, 5659076]
[unordered-list, [230.0, 1595.0, 488.0, 36.0], shoonya_0s3FIQYPW9CF20, 5659076]
[unordered-list, [230.0, 1631.0, 488.0, 36.0], shoonya_0s3FIQYPW9CF20, 5659076]
[unordered-list, [230.0, 1667.0, 488.0, 36.0], shoonya_0s3FIQYPW9CF20, 5659076]
[unordered-list, [230.0, 1703.0, 488.0, 36.0], shoonya_0s3FIQYPW9CF20, 5659076]
[unordered-list, [230.0, 1739.0, 488.0, 36.0], shoonya_0s3FIQYPW9CF20, 5659076]
[section-title, [180.0, 1828.0, 193.0, 52.5], p3NRj2QNbU, 5659076]
[unordered-list, [239.0, 1911.0, 507.0, 36.0], 1Ujz3-B4Vi, 5659076]
[unordered-list, [239.0, 1947.0, 507.0, 36.0], 1Ujz3-B4Vi, 5659076]
