[3509, 2482]
[paragraph, [235.0, 470.0, 1761.0, 52.5], shoonya_1sCPCI6IBGRK3W, 5692226]
[paragraph, [235.0, 522.5, 1761.0, 52.5], shoonya_1sCPCI6IBGRK3W, 5692226]
[paragraph, [235.0, 575.0, 1761.0, 52.5], shoonya_1sCPCI6IBGRK3W, 5692226]
[paragraph, [235.0, 627.5, 1761.0, 52.5], shoonya_1sCPCI6IBGRK3W, 5692226]
[paragraph, [235.0, 680.0, 1761.0, 52.5], shoonya_1sCPCI6IBGRK3W, 5692226]
[paragraph, [235.0, 732.5, 1761.0, 52.5], shoonya_1sCPCI6IBGRK3W, 5692226]
[paragraph, [235.0, 785.0, 1761.0, 52.5], shoonya_1sCPCI6IBGRK3W, 5692226]
[paragraph, [235.0, 837.5, 1761.0, 52.5], shoonya_1sCPCI6IBGRK3W, 5692226]
[paragraph, [235.0, 890.0, 1761.0, 52.5], shoonya_1sCPCI6IBGRK3W, 5692226]
[paragraph, [235.0, 942.5, 1761.0, 52.5], shoonya_1sCPCI6IBGRK3W, 5692226]
[paragraph, [235.0, 995.0, 1761.0, 52.5], shoonya_1sCPCI6IBGRK3W, 5692226]
[paragraph, [235.0, 1047.5, 1761.0, 52.5], shoonya_1sCPCI6IBGRK3W, 5692226]
[paragraph, [288.0, 1108.0, 1596.0, 52.5], shoonya_2s2KPU1ID3RDSB, 5692226]
[paragraph, [319.0, 1206.0, 552.0, 52.5], eLhohDIJLH, 5692226]
[paragraph, [232.0, 1293.0, 1749.0, 52.5], SDDtIRKiaT, 5692226]
[paragraph, [232.0, 1345.5, 1749.0, 52.5], SDDtIRKiaT, 5692226]
[paragraph, [304.0, 1445.0, 241.0, 52.5], 8GIrhbO39m, 5692226]
[paragraph, [282.0, 1520.0, 1520.0, 52.5], xA0w0XgSqp, 5692226]
[paragraph, [221.0, 1671.0, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 1723.5, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 1776.0, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 1828.5, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 1881.0, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 1933.5, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 1986.0, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 2038.5, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 2091.0, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 2143.5, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 2196.0, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 2248.5, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 2301.0, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 2353.5, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 2406.0, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 2458.5, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 2511.0, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 2563.5, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [221.0, 2616.0, 1756.0, 52.5], shoonya_0sCL1HHFHJEOE0, 5692226]
[paragraph, [235.0, 2761.0, 1737.0, 52.5], MlZDd5XB5x, 5692226]
[paragraph, [235.0, 2813.5, 1737.0, 52.5], MlZDd5XB5x, 5692226]
[paragraph, [235.0, 2866.0, 1737.0, 52.5], MlZDd5XB5x, 5692226]
[paragraph, [226.0, 2931.0, 1774.0, 52.5], ibuqGof0tA, 5692226]
[paragraph, [226.0, 2983.5, 1774.0, 52.5], ibuqGof0tA, 5692226]
[paragraph, [322.0, 3090.0, 1154.0, 52.5], v4TDWL7Qbb, 5692226]
[paragraph, [248.0, 3164.0, 1737.0, 52.5], 6J2Fy_COWA, 5692226]
[paragraph, [248.0, 3216.5, 1737.0, 52.5], 6J2Fy_COWA, 5692226]
