[1755, 1241]
[paragraph, [179.0, 169.0, 786.0, 36.0], 3-bIwvYaon, 5730184]
[paragraph, [179.0, 256.0, 882.0, 36.0], wnzLp85EGX, 5730184]
[paragraph, [179.0, 292.0, 882.0, 36.0], wnzLp85EGX, 5730184]
[paragraph, [178.0, 386.0, 885.0, 36.0], _tiz2cT5If, 5730184]
[paragraph, [178.0, 422.0, 885.0, 36.0], _tiz2cT5If, 5730184]
[ordered-list, [172.0, 517.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 553.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 589.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 625.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 661.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 697.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 733.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 769.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 805.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 841.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 877.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 913.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 949.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 985.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 1021.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 1057.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 1093.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 1129.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 1165.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 1201.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
[ordered-list, [172.0, 1237.0, 899.0, 36.0], shoonya_0sGLOKEU3JTIKW, 5730184]
