[1200, 825]
[paragraph, [143.0, 108.0, 538.0, 18.0], shoonya_1sGEAQTHUNLA2Q, 5690931]
[paragraph, [143.0, 126.0, 538.0, 18.0], shoonya_1sGEAQTHUNLA2Q, 5690931]
[paragraph, [143.0, 144.0, 538.0, 18.0], shoonya_1sGEAQTHUNLA2Q, 5690931]
[paragraph, [143.0, 162.0, 538.0, 18.0], shoonya_1sGEAQTHUNLA2Q, 5690931]
[paragraph, [143.0, 180.0, 538.0, 18.0], shoonya_1sGEAQTHUNLA2Q, 5690931]
[paragraph, [143.0, 198.0, 538.0, 18.0], shoonya_1sGEAQTHUNLA2Q, 5690931]
[paragraph, [143.0, 216.0, 538.0, 18.0], shoonya_1sGEAQTHUNLA2Q, 5690931]
[paragraph, [143.0, 234.0, 538.0, 18.0], shoonya_1sGEAQTHUNLA2Q, 5690931]
[paragraph, [143.0, 252.0, 538.0, 18.0], shoonya_1sGEAQTHUNLA2Q, 5690931]
[paragraph, [143.0, 270.0, 538.0, 18.0], shoonya_1sGEAQTHUNLA2Q, 5690931]
[paragraph, [143.0, 288.0, 538.0, 18.0], shoonya_1sGEAQTHUNLA2Q, 5690931]
[paragraph, [143.0, 306.0, 538.0, 18.0], shoonya_1sGEAQTHUNLA2Q, 5690931]
[paragraph, [143.0, 324.0, 538.0, 18.0], shoonya_1sGEAQTHUNLA2Q, 5690931]
[paragraph, [145.0, 354.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 372.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 390.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 408.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 426.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 444.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 462.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 480.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 498.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 516.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 534.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 552.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 570.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 588.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 606.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 624.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 642.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 660.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 678.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 696.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 714.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 732.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 750.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 768.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 786.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 804.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 822.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 840.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[paragraph, [145.0, 858.0, 536.0, 18.0], shoonya_0s20OQ874SNC29, 5690931]
[footnote, [144.0, 906.0, 536.0, 18.0], shoonya_3s79QC69CAXFYX, 5690931]
[footnote, [144.0, 924.0, 536.0, 18.0], shoonya_3s79QC69CAXFYX, 5690931]
[footnote, [144.0, 942.0, 536.0, 18.0], shoonya_3s79QC69CAXFYX, 5690931]
[footnote, [144.0, 960.0, 536.0, 18.0], shoonya_3s79QC69CAXFYX, 5690931]
[footnote, [144.0, 978.0, 536.0, 18.0], shoonya_3s79QC69CAXFYX, 5690931]
[footnote, [144.0, 996.0, 536.0, 18.0], shoonya_3s79QC69CAXFYX, 5690931]
[footnote, [144.0, 1014.0, 536.0, 18.0], shoonya_3s79QC69CAXFYX, 5690931]
[footnote, [144.0, 1032.0, 536.0, 18.0], shoonya_3s79QC69CAXFYX, 5690931]
[footnote, [144.0, 1050.0, 536.0, 18.0], shoonya_3s79QC69CAXFYX, 5690931]
