[2339, 1656]
[paragraph, [188.0, 190.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 226.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 262.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 298.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 334.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 370.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 406.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 442.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 478.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 514.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 550.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 586.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 622.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 658.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 694.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 730.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 766.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 802.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 838.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 874.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 910.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [188.0, 946.0, 1280.0, 36.0], shoonya_1sVIN5AK8GY2L6, 5730719]
[paragraph, [189.0, 1042.0, 1286.0, 36.0], shoonya_2sE04JIWRP99I3, 5730719]
[paragraph, [189.0, 1078.0, 1286.0, 36.0], shoonya_2sE04JIWRP99I3, 5730719]
[paragraph, [189.0, 1114.0, 1286.0, 36.0], shoonya_2sE04JIWRP99I3, 5730719]
[paragraph, [189.0, 1150.0, 1286.0, 36.0], shoonya_2sE04JIWRP99I3, 5730719]
[paragraph, [189.0, 1186.0, 1286.0, 36.0], shoonya_2sE04JIWRP99I3, 5730719]
[paragraph, [189.0, 1222.0, 1286.0, 36.0], shoonya_2sE04JIWRP99I3, 5730719]
[paragraph, [189.0, 1258.0, 1286.0, 36.0], shoonya_2sE04JIWRP99I3, 5730719]
[paragraph, [189.0, 1294.0, 1286.0, 36.0], shoonya_2sE04JIWRP99I3, 5730719]
[paragraph, [190.0, 1394.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
[paragraph, [190.0, 1430.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
[paragraph, [190.0, 1466.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
[paragraph, [190.0, 1502.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
[paragraph, [190.0, 1538.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
[paragraph, [190.0, 1574.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
[paragraph, [190.0, 1610.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
[paragraph, [190.0, 1646.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
[paragraph, [190.0, 1682.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
[paragraph, [190.0, 1718.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
[paragraph, [190.0, 1754.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
[paragraph, [190.0, 1790.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
[paragraph, [190.0, 1826.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
[paragraph, [190.0, 1862.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
[paragraph, [190.0, 1898.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
[paragraph, [190.0, 1934.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
[paragraph, [190.0, 1970.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
[paragraph, [190.0, 2006.0, 1285.0, 36.0], shoonya_0sJGBL23OQ3M36, 5730719]
