[1050, 695]
[section-title, [237.0, 65.0, 270.0, 30.0], shoonya_0sEQQSI7974VFL, 5691353]
[section-title, [237.0, 95.0, 270.0, 30.0], shoonya_0sEQQSI7974VFL, 5691353]
[paragraph, [102.0, 166.0, 541.0, 18.0], Nr1FgZ6cmD, 5691353]
[paragraph, [102.0, 184.0, 541.0, 18.0], Nr1FgZ6cmD, 5691353]
[paragraph, [102.0, 202.0, 541.0, 18.0], Nr1FgZ6cmD, 5691353]
[paragraph, [102.0, 220.0, 541.0, 18.0], Nr1FgZ6cmD, 5691353]
[paragraph, [102.0, 238.0, 541.0, 18.0], Nr1FgZ6cmD, 5691353]
[paragraph, [102.0, 256.0, 541.0, 18.0], Nr1FgZ6cmD, 5691353]
[paragraph, [102.0, 274.0, 541.0, 18.0], Nr1FgZ6cmD, 5691353]
[paragraph, [102.0, 292.0, 541.0, 18.0], Nr1FgZ6cmD, 5691353]
[paragraph, [102.0, 310.0, 541.0, 18.0], Nr1FgZ6cmD, 5691353]
[paragraph, [103.0, 325.0, 544.0, 18.0], OTU91mfopU, 5691353]
[paragraph, [103.0, 343.0, 544.0, 18.0], OTU91mfopU, 5691353]
[paragraph, [103.0, 361.0, 544.0, 18.0], OTU91mfopU, 5691353]
[paragraph, [103.0, 379.0, 544.0, 18.0], OTU91mfopU, 5691353]
[paragraph, [103.0, 397.0, 544.0, 18.0], OTU91mfopU, 5691353]
[paragraph, [103.0, 415.0, 544.0, 18.0], OTU91mfopU, 5691353]
[paragraph, [103.0, 433.0, 544.0, 18.0], OTU91mfopU, 5691353]
[paragraph, [103.0, 451.0, 544.0, 18.0], OTU91mfopU, 5691353]
[paragraph, [103.0, 469.0, 544.0, 18.0], OTU91mfopU, 5691353]
[paragraph, [103.0, 487.0, 544.0, 18.0], OTU91mfopU, 5691353]
[paragraph, [103.0, 505.0, 544.0, 18.0], OTU91mfopU, 5691353]
[paragraph, [103.0, 523.0, 544.0, 18.0], OTU91mfopU, 5691353]
[paragraph, [107.0, 553.0, 545.0, 18.0], CsxUfFTuMD, 5691353]
[paragraph, [107.0, 571.0, 545.0, 18.0], CsxUfFTuMD, 5691353]
[paragraph, [107.0, 589.0, 545.0, 18.0], CsxUfFTuMD, 5691353]
[paragraph, [107.0, 607.0, 545.0, 18.0], CsxUfFTuMD, 5691353]
[paragraph, [107.0, 625.0, 545.0, 18.0], CsxUfFTuMD, 5691353]
[paragraph, [107.0, 643.0, 545.0, 18.0], CsxUfFTuMD, 5691353]
[paragraph, [107.0, 661.0, 545.0, 18.0], CsxUfFTuMD, 5691353]
[paragraph, [107.0, 679.0, 545.0, 18.0], CsxUfFTuMD, 5691353]
[paragraph, [107.0, 697.0, 545.0, 18.0], CsxUfFTuMD, 5691353]
[paragraph, [107.0, 715.0, 545.0, 18.0], CsxUfFTuMD, 5691353]
[paragraph, [107.0, 733.0, 545.0, 18.0], CsxUfFTuMD, 5691353]
[paragraph, [149.0, 750.0, 306.0, 18.0], zwofAH_Q0a, 5691353]
[paragraph, [149.0, 768.0, 306.0, 18.0], zwofAH_Q0a, 5691353]
[paragraph, [89.0, 779.0, 572.0, 18.0], _xWh-HFkB9, 5691353]
[paragraph, [89.0, 797.0, 572.0, 18.0], _xWh-HFkB9, 5691353]
[paragraph, [89.0, 815.0, 572.0, 18.0], _xWh-HFkB9, 5691353]
[paragraph, [89.0, 833.0, 572.0, 18.0], _xWh-HFkB9, 5691353]
[paragraph, [109.0, 863.0, 543.0, 18.0], VLLxzQxOYF, 5691353]
[paragraph, [109.0, 881.0, 543.0, 18.0], VLLxzQxOYF, 5691353]
[paragraph, [109.0, 899.0, 543.0, 18.0], VLLxzQxOYF, 5691353]
[paragraph, [109.0, 917.0, 543.0, 18.0], VLLxzQxOYF, 5691353]
[paragraph, [109.0, 935.0, 543.0, 18.0], VLLxzQxOYF, 5691353]
