[581, 402]
[paragraph, [35.0, 34.0, 318.0, 18.0], 0RYuYHkyAY, 6496585]
[paragraph, [35.0, 52.0, 318.0, 18.0], 0RYuYHkyAY, 6496585]
[paragraph, [35.0, 70.0, 318.0, 18.0], 0RYuYHkyAY, 6496585]
[paragraph, [35.0, 88.0, 318.0, 18.0], 0RYuYHkyAY, 6496585]
[paragraph, [35.0, 106.0, 318.0, 18.0], 0RYuYHkyAY, 6496585]
[paragraph, [38.0, 127.0, 317.0, 18.0], ZfY4ez2HoV, 6496585]
[paragraph, [38.0, 145.0, 317.0, 18.0], ZfY4ez2HoV, 6496585]
[paragraph, [38.0, 163.0, 317.0, 18.0], ZfY4ez2HoV, 6496585]
[paragraph, [38.0, 181.0, 317.0, 18.0], ZfY4ez2HoV, 6496585]
[paragraph, [38.0, 199.0, 317.0, 18.0], ZfY4ez2HoV, 6496585]
[paragraph, [38.0, 217.0, 317.0, 18.0], ZfY4ez2HoV, 6496585]
[paragraph, [38.0, 235.0, 317.0, 18.0], ZfY4ez2HoV, 6496585]
[paragraph, [35.0, 251.0, 319.0, 18.0], t9zFuFdeV_, 6496585]
[paragraph, [35.0, 269.0, 319.0, 18.0], t9zFuFdeV_, 6496585]
[paragraph, [35.0, 287.0, 319.0, 18.0], t9zFuFdeV_, 6496585]
[paragraph, [35.0, 305.0, 319.0, 18.0], t9zFuFdeV_, 6496585]
[paragraph, [35.0, 323.0, 319.0, 18.0], t9zFuFdeV_, 6496585]
[paragraph, [35.0, 341.0, 319.0, 18.0], t9zFuFdeV_, 6496585]
[paragraph, [46.0, 361.0, 305.0, 18.0], 9uzfSly422, 6496585]
[paragraph, [46.0, 379.0, 305.0, 18.0], 9uzfSly422, 6496585]
[paragraph, [46.0, 397.0, 305.0, 18.0], 9uzfSly422, 6496585]
[paragraph, [46.0, 415.0, 305.0, 18.0], 9uzfSly422, 6496585]
[paragraph, [46.0, 433.0, 305.0, 18.0], 9uzfSly422, 6496585]
[paragraph, [46.0, 451.0, 305.0, 18.0], 9uzfSly422, 6496585]
[paragraph, [28.0, 472.0, 328.0, 18.0], fQMOQwjQzI, 6496585]
[paragraph, [28.0, 490.0, 328.0, 18.0], fQMOQwjQzI, 6496585]
