[1606, 1056]
[folio, [432.0, 103.0, 159.0, 36.0], shoonya_0sKVRA1YYI2B39, 5684005]
[folio, [98.0, 105.0, 221.0, 36.0], DfShwI8JDd, 5684005]
[paragraph, [289.0, 156.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 192.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 228.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 264.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 300.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 336.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 372.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 408.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 444.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 480.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 516.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 552.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 588.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 624.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 660.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 696.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 732.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 768.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 804.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 840.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 876.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 912.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 948.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 984.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 1020.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 1056.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 1092.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 1128.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 1164.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 1200.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 1236.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 1272.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 1308.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 1344.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 1380.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 1416.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
[paragraph, [289.0, 1452.0, 453.0, 36.0], shoonya_2sCSMHIPAUHE7P, 5684005]
