[1200, 825]
[paragraph, [140.0, 110.0, 543.0, 18.0], FoCDNUmPNB, 5690924]
[paragraph, [140.0, 128.0, 543.0, 18.0], FoCDNUmPNB, 5690924]
[paragraph, [140.0, 146.0, 543.0, 18.0], FoCDNUmPNB, 5690924]
[paragraph, [140.0, 164.0, 543.0, 18.0], FoCDNUmPNB, 5690924]
[paragraph, [140.0, 182.0, 543.0, 18.0], FoCDNUmPNB, 5690924]
[paragraph, [140.0, 200.0, 543.0, 18.0], FoCDNUmPNB, 5690924]
[paragraph, [145.0, 231.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 249.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 267.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 285.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 303.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 321.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 339.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 357.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 375.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 393.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 411.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 429.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 447.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 465.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 483.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 501.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 519.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 537.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 555.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 573.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 591.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 609.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 627.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 645.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 663.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 681.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 699.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 717.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 735.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [145.0, 753.0, 535.0, 18.0], shoonya_2sN4KNX0DSZHQY, 5690924]
[paragraph, [144.0, 784.0, 537.0, 18.0], shoonya_0s1KV6AILEL6S2, 5690924]
[paragraph, [144.0, 802.0, 537.0, 18.0], shoonya_0s1KV6AILEL6S2, 5690924]
[paragraph, [144.0, 820.0, 537.0, 18.0], shoonya_0s1KV6AILEL6S2, 5690924]
[paragraph, [144.0, 838.0, 537.0, 18.0], shoonya_0s1KV6AILEL6S2, 5690924]
[paragraph, [144.0, 856.0, 537.0, 18.0], shoonya_0s1KV6AILEL6S2, 5690924]
[paragraph, [144.0, 874.0, 537.0, 18.0], shoonya_0s1KV6AILEL6S2, 5690924]
[paragraph, [144.0, 892.0, 537.0, 18.0], shoonya_0s1KV6AILEL6S2, 5690924]
[paragraph, [144.0, 910.0, 537.0, 18.0], shoonya_0s1KV6AILEL6S2, 5690924]
[paragraph, [144.0, 928.0, 537.0, 18.0], shoonya_0s1KV6AILEL6S2, 5690924]
[paragraph, [144.0, 946.0, 537.0, 18.0], shoonya_0s1KV6AILEL6S2, 5690924]
[paragraph, [144.0, 964.0, 537.0, 18.0], shoonya_0s1KV6AILEL6S2, 5690924]
[paragraph, [144.0, 982.0, 537.0, 18.0], shoonya_0s1KV6AILEL6S2, 5690924]
[paragraph, [144.0, 1000.0, 537.0, 18.0], shoonya_0s1KV6AILEL6S2, 5690924]
[paragraph, [144.0, 1018.0, 537.0, 18.0], shoonya_0s1KV6AILEL6S2, 5690924]
[paragraph, [144.0, 1036.0, 537.0, 18.0], shoonya_0s1KV6AILEL6S2, 5690924]
