[2200, 1700]
[paragraph, [296.0, 83.0, 1079.0, 36.0], shoonya_3sGCBHZKQ6VWM1, 5731497]
[paragraph, [296.0, 119.0, 1079.0, 36.0], shoonya_3sGCBHZKQ6VWM1, 5731497]
[paragraph, [296.0, 155.0, 1079.0, 36.0], shoonya_3sGCBHZKQ6VWM1, 5731497]
[paragraph, [296.0, 191.0, 1079.0, 36.0], shoonya_3sGCBHZKQ6VWM1, 5731497]
[ordered-list, [292.0, 268.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 304.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 340.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 376.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 412.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 448.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 484.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 520.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 556.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 592.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 628.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 664.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 700.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 736.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 772.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 808.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 844.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 880.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 916.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 952.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 988.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1024.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1060.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1096.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1132.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1168.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1204.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1240.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1276.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1312.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1348.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1384.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1420.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1456.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1492.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1528.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1564.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1600.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1636.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1672.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1708.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1744.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1780.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1816.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1852.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[ordered-list, [292.0, 1888.0, 1105.0, 36.0], shoonya_5sAP7CUCLNLZ2X, 5731497]
[folio, [945.0, 2026.0, 371.0, 36.0], shoonya_0sXKYV8MMJ4YFV, 5731497]
