[690, 512]
[folio, [193.0, 42.0, 120.0, 18.0], CfRx7ik-X0, 6491416]
[headline, [142.0, 78.0, 226.0, 25.5], 2TcjjCqH1c, 6491416]
[author, [320.0, 118.0, 126.0, 18.0], 0YbFIEvN_5, 6491416]
[paragraph, [18.0, 137.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 155.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 173.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 191.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 209.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 227.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 245.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 263.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 281.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 299.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 317.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 335.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 353.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 371.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 389.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 407.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 425.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 443.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 461.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [18.0, 479.0, 234.0, 18.0], shoonya_0sTOIXZFKN3V07, 6491416]
[paragraph, [258.0, 142.0, 228.0, 18.0], 0-p9HU84kF, 6491416]
[paragraph, [258.0, 160.0, 228.0, 18.0], 0-p9HU84kF, 6491416]
[paragraph, [258.0, 178.0, 228.0, 18.0], 0-p9HU84kF, 6491416]
[paragraph, [258.0, 196.0, 228.0, 18.0], 0-p9HU84kF, 6491416]
[paragraph, [258.0, 214.0, 228.0, 18.0], 0-p9HU84kF, 6491416]
[paragraph, [258.0, 232.0, 228.0, 18.0], 0-p9HU84kF, 6491416]
[paragraph, [258.0, 250.0, 228.0, 18.0], 0-p9HU84kF, 6491416]
[paragraph, [258.0, 268.0, 228.0, 18.0], 0-p9HU84kF, 6491416]
[paragraph, [258.0, 286.0, 228.0, 18.0], 0-p9HU84kF, 6491416]
[paragraph, [258.0, 304.0, 228.0, 18.0], 0-p9HU84kF, 6491416]
[paragraph, [258.0, 322.0, 228.0, 18.0], 0-p9HU84kF, 6491416]
[paragraph, [258.0, 340.0, 228.0, 18.0], 0-p9HU84kF, 6491416]
[paragraph, [258.0, 358.0, 228.0, 18.0], 0-p9HU84kF, 6491416]
[paragraph, [258.0, 379.0, 228.0, 18.0], OkhbtHYLN9, 6491416]
[paragraph, [258.0, 397.0, 228.0, 18.0], OkhbtHYLN9, 6491416]
[paragraph, [258.0, 415.0, 228.0, 18.0], OkhbtHYLN9, 6491416]
[paragraph, [258.0, 433.0, 228.0, 18.0], OkhbtHYLN9, 6491416]
[paragraph, [258.0, 451.0, 228.0, 18.0], OkhbtHYLN9, 6491416]
[paragraph, [258.0, 469.0, 228.0, 18.0], OkhbtHYLN9, 6491416]
[paragraph, [258.0, 487.0, 228.0, 18.0], OkhbtHYLN9, 6491416]
[paragraph, [258.0, 505.0, 228.0, 18.0], OkhbtHYLN9, 6491416]
[paragraph, [258.0, 523.0, 228.0, 18.0], OkhbtHYLN9, 6491416]
[paragraph, [258.0, 541.0, 228.0, 18.0], OkhbtHYLN9, 6491416]
[paragraph, [258.0, 559.0, 228.0, 18.0], OkhbtHYLN9, 6491416]
[paragraph, [258.0, 577.0, 228.0, 18.0], OkhbtHYLN9, 6491416]
[paragraph, [258.0, 595.0, 228.0, 18.0], OkhbtHYLN9, 6491416]
[paragraph, [258.0, 613.0, 228.0, 18.0], OkhbtHYLN9, 6491416]
[paragraph, [258.0, 631.0, 228.0, 18.0], OkhbtHYLN9, 6491416]
[paragraph, [15.0, 514.0, 236.0, 18.0], 2WYm4or3m8, 6491416]
[paragraph, [15.0, 532.0, 236.0, 18.0], 2WYm4or3m8, 6491416]
[paragraph, [15.0, 550.0, 236.0, 18.0], 2WYm4or3m8, 6491416]
[paragraph, [15.0, 568.0, 236.0, 18.0], 2WYm4or3m8, 6491416]
[paragraph, [15.0, 586.0, 236.0, 18.0], 2WYm4or3m8, 6491416]
[paragraph, [15.0, 604.0, 236.0, 18.0], 2WYm4or3m8, 6491416]
[paragraph, [15.0, 622.0, 236.0, 18.0], 2WYm4or3m8, 6491416]
