[842, 595]
[headline, [102.0, 63.0, 323.0, 25.5], hvflt3u5rj, 6459933]
[author, [145.0, 112.0, 241.0, 18.0], R0bp1mksCa, 6459933]
[paragraph, [59.0, 154.0, 436.0, 18.0], shoonya_0s6Z03GSGPZ02B, 6459933]
[paragraph, [59.0, 172.0, 436.0, 18.0], shoonya_0s6Z03GSGPZ02B, 6459933]
[paragraph, [59.0, 190.0, 436.0, 18.0], shoonya_0s6Z03GSGPZ02B, 6459933]
[paragraph, [59.0, 208.0, 436.0, 18.0], shoonya_0s6Z03GSGPZ02B, 6459933]
[paragraph, [59.0, 226.0, 436.0, 18.0], shoonya_0s6Z03GSGPZ02B, 6459933]
[paragraph, [59.0, 244.0, 436.0, 18.0], shoonya_0s6Z03GSGPZ02B, 6459933]
[paragraph, [59.0, 262.0, 436.0, 18.0], shoonya_0s6Z03GSGPZ02B, 6459933]
[paragraph, [59.0, 280.0, 436.0, 18.0], shoonya_0s6Z03GSGPZ02B, 6459933]
[paragraph, [54.0, 317.0, 443.0, 18.0], wWl2a-JMLy, 6459933]
[paragraph, [54.0, 335.0, 443.0, 18.0], wWl2a-JMLy, 6459933]
[paragraph, [54.0, 353.0, 443.0, 18.0], wWl2a-JMLy, 6459933]
[paragraph, [54.0, 371.0, 443.0, 18.0], wWl2a-JMLy, 6459933]
[paragraph, [54.0, 389.0, 443.0, 18.0], wWl2a-JMLy, 6459933]
[paragraph, [54.0, 407.0, 443.0, 18.0], wWl2a-JMLy, 6459933]
[paragraph, [54.0, 425.0, 443.0, 18.0], wWl2a-JMLy, 6459933]
[paragraph, [54.0, 443.0, 443.0, 18.0], wWl2a-JMLy, 6459933]
[paragraph, [54.0, 461.0, 443.0, 18.0], wWl2a-JMLy, 6459933]
[paragraph, [54.0, 479.0, 443.0, 18.0], wWl2a-JMLy, 6459933]
[paragraph, [54.0, 497.0, 443.0, 18.0], wWl2a-JMLy, 6459933]
[paragraph, [54.0, 515.0, 443.0, 18.0], wWl2a-JMLy, 6459933]
[paragraph, [54.0, 533.0, 443.0, 18.0], wWl2a-JMLy, 6459933]
[paragraph, [54.0, 551.0, 443.0, 18.0], wWl2a-JMLy, 6459933]
[paragraph, [54.0, 569.0, 443.0, 18.0], wWl2a-JMLy, 6459933]
[paragraph, [54.0, 587.0, 443.0, 18.0], wWl2a-JMLy, 6459933]
[paragraph, [114.0, 615.0, 333.0, 18.0], r0R4sFUYRl, 6459933]
[paragraph, [114.0, 633.0, 333.0, 18.0], r0R4sFUYRl, 6459933]
[paragraph, [114.0, 651.0, 333.0, 18.0], r0R4sFUYRl, 6459933]
[paragraph, [114.0, 669.0, 333.0, 18.0], r0R4sFUYRl, 6459933]
[paragraph, [114.0, 687.0, 333.0, 18.0], r0R4sFUYRl, 6459933]
[paragraph, [114.0, 705.0, 333.0, 18.0], r0R4sFUYRl, 6459933]
[paragraph, [114.0, 723.0, 333.0, 18.0], r0R4sFUYRl, 6459933]
