[1755, 1241]
[paragraph, [204.0, 151.0, 814.0, 36.0], shoonya_2sMMDO5O9MY9PL, 5759815]
[paragraph, [204.0, 187.0, 814.0, 36.0], shoonya_2sMMDO5O9MY9PL, 5759815]
[paragraph, [204.0, 223.0, 814.0, 36.0], shoonya_2sMMDO5O9MY9PL, 5759815]
[paragraph, [204.0, 259.0, 814.0, 36.0], shoonya_2sMMDO5O9MY9PL, 5759815]
[paragraph, [204.0, 295.0, 814.0, 36.0], shoonya_2sMMDO5O9MY9PL, 5759815]
[paragraph, [206.0, 350.0, 811.0, 36.0], shoonya_1s01T8X3X35UI6, 5759815]
[paragraph, [206.0, 386.0, 811.0, 36.0], shoonya_1s01T8X3X35UI6, 5759815]
[paragraph, [206.0, 422.0, 811.0, 36.0], shoonya_1s01T8X3X35UI6, 5759815]
[paragraph, [207.0, 473.0, 809.0, 36.0], shoonya_7sD17782QH8FGT, 5759815]
[paragraph, [207.0, 509.0, 809.0, 36.0], shoonya_7sD17782QH8FGT, 5759815]
[paragraph, [207.0, 545.0, 809.0, 36.0], shoonya_7sD17782QH8FGT, 5759815]
[paragraph, [207.0, 581.0, 809.0, 36.0], shoonya_7sD17782QH8FGT, 5759815]
[paragraph, [207.0, 617.0, 809.0, 36.0], shoonya_7sD17782QH8FGT, 5759815]
[paragraph, [204.0, 675.0, 810.0, 36.0], shoonya_4sT428EVZ9MG3U, 5759815]
[paragraph, [204.0, 711.0, 810.0, 36.0], shoonya_4sT428EVZ9MG3U, 5759815]
[paragraph, [204.0, 747.0, 810.0, 36.0], shoonya_4sT428EVZ9MG3U, 5759815]
[paragraph, [204.0, 783.0, 810.0, 36.0], shoonya_4sT428EVZ9MG3U, 5759815]
[paragraph, [204.0, 819.0, 810.0, 36.0], shoonya_4sT428EVZ9MG3U, 5759815]
[paragraph, [204.0, 868.0, 810.0, 36.0], shoonya_5sWQFNHO7QMGFM, 5759815]
[paragraph, [204.0, 904.0, 810.0, 36.0], shoonya_5sWQFNHO7QMGFM, 5759815]
[paragraph, [204.0, 940.0, 810.0, 36.0], shoonya_5sWQFNHO7QMGFM, 5759815]
[paragraph, [205.0, 991.0, 809.0, 36.0], shoonya_3sEEK38L0JI1J7, 5759815]
[paragraph, [205.0, 1027.0, 809.0, 36.0], shoonya_3sEEK38L0JI1J7, 5759815]
[paragraph, [205.0, 1063.0, 809.0, 36.0], shoonya_3sEEK38L0JI1J7, 5759815]
[paragraph, [205.0, 1099.0, 809.0, 36.0], shoonya_3sEEK38L0JI1J7, 5759815]
[paragraph, [205.0, 1135.0, 809.0, 36.0], shoonya_3sEEK38L0JI1J7, 5759815]
[paragraph, [201.0, 1193.0, 811.0, 36.0], EgcgVBUcfp, 5759815]
[paragraph, [201.0, 1229.0, 811.0, 36.0], EgcgVBUcfp, 5759815]
[paragraph, [201.0, 1265.0, 811.0, 36.0], EgcgVBUcfp, 5759815]
[paragraph, [201.0, 1301.0, 811.0, 36.0], EgcgVBUcfp, 5759815]
[paragraph, [201.0, 1337.0, 811.0, 36.0], EgcgVBUcfp, 5759815]
[paragraph, [201.0, 1373.0, 811.0, 36.0], EgcgVBUcfp, 5759815]
[paragraph, [203.0, 1426.0, 808.0, 36.0], iP5RlEp5Ed, 5759815]
[paragraph, [203.0, 1462.0, 808.0, 36.0], iP5RlEp5Ed, 5759815]
[paragraph, [203.0, 1498.0, 808.0, 36.0], iP5RlEp5Ed, 5759815]
[paragraph, [203.0, 1534.0, 808.0, 36.0], iP5RlEp5Ed, 5759815]
[folio, [774.0, 1610.0, 178.0, 36.0], w8H5WmpX8E, 5759815]
