[853, 552]
[paragraph, [59.0, 86.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 104.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 122.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 140.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 158.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 176.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 194.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 212.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 230.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 248.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 266.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 284.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 302.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 320.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 338.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 356.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 374.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 392.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 410.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 428.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 446.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 464.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 482.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 500.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 518.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 536.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 554.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 572.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 590.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 608.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 626.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 644.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 662.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 680.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
[paragraph, [59.0, 698.0, 433.0, 18.0], shoonya_0s6B78KC8UG10T, 5774477]
