[1388, 886]
[folio, [641.0, 59.0, 202.0, 18.0], NrKp1nrmGm, 5742934]
[folio, [641.0, 77.0, 202.0, 18.0], NrKp1nrmGm, 5742934]
[folio, [371.0, 61.0, 134.0, 18.0], 5d5hDnuX7n, 5742934]
[folio, [371.0, 79.0, 134.0, 18.0], 5d5hDnuX7n, 5742934]
[paragraph, [34.0, 116.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 134.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 152.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 170.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 188.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 206.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 224.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 242.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 260.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 278.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 296.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 314.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 332.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 350.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 368.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 386.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 404.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 422.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 440.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 458.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 476.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 494.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 512.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 530.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 548.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 566.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 584.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 602.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 620.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 638.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 656.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 674.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 692.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 710.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [34.0, 728.0, 404.0, 18.0], RMvSoSnx7t, 5742934]
[paragraph, [442.0, 117.0, 412.0, 18.0], 7RsDjS3vJ5, 5742934]
[paragraph, [442.0, 135.0, 412.0, 18.0], 7RsDjS3vJ5, 5742934]
[paragraph, [442.0, 153.0, 412.0, 18.0], 7RsDjS3vJ5, 5742934]
[paragraph, [442.0, 171.0, 412.0, 18.0], 7RsDjS3vJ5, 5742934]
[paragraph, [442.0, 189.0, 412.0, 18.0], 7RsDjS3vJ5, 5742934]
