[1200, 825]
[paragraph, [134.0, 110.0, 560.0, 18.0], shoonya_0sU0MBTC11DSPZ, 5691343]
[paragraph, [134.0, 128.0, 560.0, 18.0], shoonya_0sU0MBTC11DSPZ, 5691343]
[paragraph, [134.0, 146.0, 560.0, 18.0], shoonya_0sU0MBTC11DSPZ, 5691343]
[paragraph, [132.0, 175.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [132.0, 193.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [132.0, 211.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [132.0, 229.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [132.0, 247.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [132.0, 265.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [132.0, 283.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [132.0, 301.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [132.0, 319.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [132.0, 337.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [132.0, 355.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [132.0, 373.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [132.0, 391.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [132.0, 409.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [132.0, 427.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [132.0, 445.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [132.0, 463.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [132.0, 481.0, 559.0, 18.0], ic5MOq0QIs, 5691343]
[paragraph, [133.0, 511.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [133.0, 529.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [133.0, 547.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [133.0, 565.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [133.0, 583.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [133.0, 601.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [133.0, 619.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [133.0, 637.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [133.0, 655.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [133.0, 673.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [133.0, 691.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [133.0, 709.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [133.0, 727.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [133.0, 745.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [133.0, 763.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [133.0, 781.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [133.0, 799.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [133.0, 817.0, 551.0, 18.0], rE3Iw7E10e, 5691343]
[paragraph, [131.0, 843.0, 559.0, 18.0], L4SztaAEID, 5691343]
[paragraph, [131.0, 861.0, 559.0, 18.0], L4SztaAEID, 5691343]
[paragraph, [131.0, 879.0, 559.0, 18.0], L4SztaAEID, 5691343]
[paragraph, [131.0, 897.0, 559.0, 18.0], L4SztaAEID, 5691343]
[paragraph, [131.0, 915.0, 559.0, 18.0], L4SztaAEID, 5691343]
[paragraph, [131.0, 933.0, 559.0, 18.0], L4SztaAEID, 5691343]
[paragraph, [131.0, 951.0, 559.0, 18.0], L4SztaAEID, 5691343]
[paragraph, [131.0, 969.0, 559.0, 18.0], L4SztaAEID, 5691343]
[paragraph, [131.0, 987.0, 559.0, 18.0], L4SztaAEID, 5691343]
[paragraph, [131.0, 1005.0, 559.0, 18.0], L4SztaAEID, 5691343]
[paragraph, [131.0, 1023.0, 559.0, 18.0], L4SztaAEID, 5691343]
[paragraph, [131.0, 1041.0, 559.0, 18.0], L4SztaAEID, 5691343]
