[2529, 1968]
[folio, [488.0, 4.0, 474.0, 46.5], 6Zk2Nw4fgR, 5684122]
[folio, [488.0, 50.5, 474.0, 46.5], 6Zk2Nw4fgR, 5684122]
[paragraph, [139.0, 165.0, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 211.5, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 258.0, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 304.5, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 351.0, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 397.5, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 444.0, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 490.5, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 537.0, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 583.5, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 630.0, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 676.5, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 723.0, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 769.5, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 816.0, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 862.5, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 909.0, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 955.5, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 1002.0, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 1048.5, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 1095.0, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 1141.5, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[paragraph, [139.0, 1188.0, 1398.0, 46.5], shoonya_2sSQDSBTFNR331, 5684122]
[author, [977.0, 1332.0, 680.0, 46.5], aTylgC5YEB, 5684122]
[author, [977.0, 1378.5, 680.0, 46.5], aTylgC5YEB, 5684122]
[author, [977.0, 1425.0, 680.0, 46.5], aTylgC5YEB, 5684122]
