[1350, 900]
[folio, [546.0, 176.0, 173.0, 18.0], 2Lwq_Q-EjS, 5760352]
[folio, [546.0, 194.0, 173.0, 18.0], 2Lwq_Q-EjS, 5760352]
[paragraph, [172.0, 231.0, 567.0, 18.0], PitaXbTwYC, 5760352]
[paragraph, [172.0, 249.0, 567.0, 18.0], PitaXbTwYC, 5760352]
[paragraph, [172.0, 267.0, 567.0, 18.0], PitaXbTwYC, 5760352]
[paragraph, [172.0, 285.0, 567.0, 18.0], PitaXbTwYC, 5760352]
[paragraph, [172.0, 303.0, 567.0, 18.0], PitaXbTwYC, 5760352]
[paragraph, [172.0, 321.0, 567.0, 18.0], PitaXbTwYC, 5760352]
[paragraph, [172.0, 339.0, 567.0, 18.0], PitaXbTwYC, 5760352]
[paragraph, [172.0, 357.0, 567.0, 18.0], PitaXbTwYC, 5760352]
[paragraph, [172.0, 375.0, 567.0, 18.0], PitaXbTwYC, 5760352]
[paragraph, [172.0, 393.0, 567.0, 18.0], PitaXbTwYC, 5760352]
[paragraph, [172.0, 411.0, 567.0, 18.0], PitaXbTwYC, 5760352]
[paragraph, [174.0, 440.0, 562.0, 18.0], 92Dnt1uMEj, 5760352]
[paragraph, [174.0, 458.0, 562.0, 18.0], 92Dnt1uMEj, 5760352]
[paragraph, [174.0, 476.0, 562.0, 18.0], 92Dnt1uMEj, 5760352]
[paragraph, [174.0, 494.0, 562.0, 18.0], 92Dnt1uMEj, 5760352]
[paragraph, [174.0, 512.0, 562.0, 18.0], 92Dnt1uMEj, 5760352]
[paragraph, [174.0, 530.0, 562.0, 18.0], 92Dnt1uMEj, 5760352]
[paragraph, [172.0, 567.0, 562.0, 18.0], k7Q7NdQp3L, 5760352]
[paragraph, [172.0, 585.0, 562.0, 18.0], k7Q7NdQp3L, 5760352]
[paragraph, [172.0, 603.0, 562.0, 18.0], k7Q7NdQp3L, 5760352]
[paragraph, [172.0, 621.0, 562.0, 18.0], k7Q7NdQp3L, 5760352]
[paragraph, [172.0, 639.0, 562.0, 18.0], k7Q7NdQp3L, 5760352]
[paragraph, [172.0, 657.0, 562.0, 18.0], k7Q7NdQp3L, 5760352]
[paragraph, [172.0, 675.0, 562.0, 18.0], k7Q7NdQp3L, 5760352]
[paragraph, [172.0, 693.0, 562.0, 18.0], k7Q7NdQp3L, 5760352]
[paragraph, [172.0, 711.0, 562.0, 18.0], k7Q7NdQp3L, 5760352]
[paragraph, [172.0, 729.0, 562.0, 18.0], k7Q7NdQp3L, 5760352]
[paragraph, [172.0, 747.0, 562.0, 18.0], k7Q7NdQp3L, 5760352]
[paragraph, [171.0, 777.0, 559.0, 18.0], shoonya_0sVR9VIJPLJ6AX, 5760352]
[paragraph, [171.0, 795.0, 559.0, 18.0], shoonya_0sVR9VIJPLJ6AX, 5760352]
[paragraph, [171.0, 813.0, 559.0, 18.0], shoonya_0sVR9VIJPLJ6AX, 5760352]
[paragraph, [171.0, 831.0, 559.0, 18.0], shoonya_0sVR9VIJPLJ6AX, 5760352]
[paragraph, [171.0, 849.0, 559.0, 18.0], shoonya_0sVR9VIJPLJ6AX, 5760352]
[paragraph, [171.0, 867.0, 559.0, 18.0], shoonya_0sVR9VIJPLJ6AX, 5760352]
[paragraph, [171.0, 885.0, 559.0, 18.0], shoonya_0sVR9VIJPLJ6AX, 5760352]
[paragraph, [171.0, 903.0, 559.0, 18.0], shoonya_0sVR9VIJPLJ6AX, 5760352]
[paragraph, [171.0, 921.0, 559.0, 18.0], shoonya_0sVR9VIJPLJ6AX, 5760352]
[paragraph, [171.0, 939.0, 559.0, 18.0], shoonya_0sVR9VIJPLJ6AX, 5760352]
[paragraph, [171.0, 957.0, 559.0, 18.0], shoonya_0sVR9VIJPLJ6AX, 5760352]
[paragraph, [171.0, 975.0, 559.0, 18.0], shoonya_0sVR9VIJPLJ6AX, 5760352]
[paragraph, [172.0, 1008.0, 561.0, 18.0], MPxTLvg4l2, 5760352]
[paragraph, [172.0, 1026.0, 561.0, 18.0], MPxTLvg4l2, 5760352]
[paragraph, [172.0, 1044.0, 561.0, 18.0], MPxTLvg4l2, 5760352]
[paragraph, [172.0, 1062.0, 561.0, 18.0], MPxTLvg4l2, 5760352]
[paragraph, [172.0, 1080.0, 561.0, 18.0], MPxTLvg4l2, 5760352]
[paragraph, [172.0, 1098.0, 561.0, 18.0], MPxTLvg4l2, 5760352]
[paragraph, [172.0, 1116.0, 561.0, 18.0], MPxTLvg4l2, 5760352]
[paragraph, [172.0, 1134.0, 561.0, 18.0], MPxTLvg4l2, 5760352]
