[1818, 1374]
[folio, [630.0, 170.0, 116.0, 36.0], shoonya_0sZBQHL1GKZXLD, 5682663]
[paragraph, [108.0, 238.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 274.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 310.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 346.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 382.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 418.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 454.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 490.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 526.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 562.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 598.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 634.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 670.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 706.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 742.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 778.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 814.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 850.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [108.0, 886.0, 566.0, 36.0], shoonya_3sDWFYVWSZNM7F, 5682663]
[paragraph, [696.0, 240.0, 573.0, 36.0], shoonya_12sPQUKQ1F7MZ5, 5682663]
[paragraph, [696.0, 276.0, 573.0, 36.0], shoonya_12sPQUKQ1F7MZ5, 5682663]
[paragraph, [697.0, 324.0, 570.0, 36.0], shoonya_13sW1JCYN6RZ1H, 5682663]
[paragraph, [697.0, 360.0, 570.0, 36.0], shoonya_13sW1JCYN6RZ1H, 5682663]
[paragraph, [699.0, 408.0, 568.0, 36.0], shoonya_14sHCA3J7LWSL9, 5682663]
[paragraph, [699.0, 444.0, 568.0, 36.0], shoonya_14sHCA3J7LWSL9, 5682663]
[paragraph, [699.0, 480.0, 568.0, 36.0], shoonya_14sHCA3J7LWSL9, 5682663]
[paragraph, [699.0, 516.0, 568.0, 36.0], shoonya_14sHCA3J7LWSL9, 5682663]
[paragraph, [699.0, 552.0, 568.0, 36.0], shoonya_14sHCA3J7LWSL9, 5682663]
[paragraph, [697.0, 609.0, 568.0, 36.0], 5A1gy3424S, 5682663]
