[1754, 1241]
[paragraph, [216.0, 150.0, 884.0, 36.0], HcHTL9YivS, 6470902]
[paragraph, [216.0, 186.0, 884.0, 36.0], HcHTL9YivS, 6470902]
[paragraph, [216.0, 222.0, 884.0, 36.0], HcHTL9YivS, 6470902]
[paragraph, [216.0, 258.0, 884.0, 36.0], HcHTL9YivS, 6470902]
[paragraph, [216.0, 294.0, 884.0, 36.0], HcHTL9YivS, 6470902]
[paragraph, [216.0, 330.0, 884.0, 36.0], HcHTL9YivS, 6470902]
[paragraph, [216.0, 398.0, 887.0, 36.0], Hu8LMPPxll, 6470902]
[paragraph, [216.0, 434.0, 887.0, 36.0], Hu8LMPPxll, 6470902]
[paragraph, [216.0, 470.0, 887.0, 36.0], Hu8LMPPxll, 6470902]
[paragraph, [216.0, 506.0, 887.0, 36.0], Hu8LMPPxll, 6470902]
[paragraph, [216.0, 542.0, 887.0, 36.0], Hu8LMPPxll, 6470902]
[paragraph, [216.0, 578.0, 887.0, 36.0], Hu8LMPPxll, 6470902]
[paragraph, [216.0, 614.0, 887.0, 36.0], Hu8LMPPxll, 6470902]
[paragraph, [216.0, 650.0, 887.0, 36.0], Hu8LMPPxll, 6470902]
[paragraph, [216.0, 686.0, 887.0, 36.0], Hu8LMPPxll, 6470902]
[paragraph, [216.0, 722.0, 887.0, 36.0], Hu8LMPPxll, 6470902]
[paragraph, [216.0, 758.0, 887.0, 36.0], Hu8LMPPxll, 6470902]
[paragraph, [216.0, 794.0, 887.0, 36.0], Hu8LMPPxll, 6470902]
[paragraph, [216.0, 830.0, 887.0, 36.0], Hu8LMPPxll, 6470902]
[paragraph, [216.0, 866.0, 887.0, 36.0], Hu8LMPPxll, 6470902]
[paragraph, [216.0, 902.0, 887.0, 36.0], Hu8LMPPxll, 6470902]
[paragraph, [216.0, 938.0, 887.0, 36.0], Hu8LMPPxll, 6470902]
[paragraph, [216.0, 974.0, 887.0, 36.0], Hu8LMPPxll, 6470902]
[paragraph, [217.0, 1020.0, 884.0, 36.0], shoonya_0s6614LRJBSLD9, 6470902]
[paragraph, [217.0, 1056.0, 884.0, 36.0], shoonya_0s6614LRJBSLD9, 6470902]
[paragraph, [217.0, 1092.0, 884.0, 36.0], shoonya_0s6614LRJBSLD9, 6470902]
[paragraph, [217.0, 1128.0, 884.0, 36.0], shoonya_0s6614LRJBSLD9, 6470902]
[paragraph, [217.0, 1164.0, 884.0, 36.0], shoonya_0s6614LRJBSLD9, 6470902]
[paragraph, [217.0, 1200.0, 884.0, 36.0], shoonya_0s6614LRJBSLD9, 6470902]
[paragraph, [217.0, 1236.0, 884.0, 36.0], shoonya_0s6614LRJBSLD9, 6470902]
[paragraph, [217.0, 1272.0, 884.0, 36.0], shoonya_0s6614LRJBSLD9, 6470902]
[paragraph, [217.0, 1308.0, 884.0, 36.0], shoonya_0s6614LRJBSLD9, 6470902]
[paragraph, [217.0, 1344.0, 884.0, 36.0], shoonya_0s6614LRJBSLD9, 6470902]
[paragraph, [217.0, 1380.0, 884.0, 36.0], shoonya_0s6614LRJBSLD9, 6470902]
[paragraph, [217.0, 1416.0, 884.0, 36.0], shoonya_0s6614LRJBSLD9, 6470902]
[paragraph, [217.0, 1452.0, 884.0, 36.0], shoonya_0s6614LRJBSLD9, 6470902]
[paragraph, [217.0, 1488.0, 884.0, 36.0], shoonya_0s6614LRJBSLD9, 6470902]
[paragraph, [217.0, 1524.0, 884.0, 36.0], shoonya_0s6614LRJBSLD9, 6470902]
