[809, 621]
[folio, [98.0, 47.0, 170.0, 18.0], F4CLk-awpZ, 5656925]
[paragraph, [85.0, 94.0, 220.0, 18.0], shoonya_8sFM0BEBJM4ZPU, 5656925]
[paragraph, [352.0, 108.0, 236.0, 18.0], shoonya_4sQ9M32IWO1BMZ, 5656925]
[paragraph, [352.0, 126.0, 236.0, 18.0], shoonya_4sQ9M32IWO1BMZ, 5656925]
[paragraph, [352.0, 144.0, 236.0, 18.0], shoonya_4sQ9M32IWO1BMZ, 5656925]
[ordered-list, [47.0, 119.0, 263.0, 18.0], HB_lzFAKBK, 5656925]
[ordered-list, [47.0, 137.0, 263.0, 18.0], HB_lzFAKBK, 5656925]
[ordered-list, [47.0, 155.0, 263.0, 18.0], HB_lzFAKBK, 5656925]
[ordered-list, [47.0, 173.0, 263.0, 18.0], HB_lzFAKBK, 5656925]
[ordered-list, [47.0, 191.0, 263.0, 18.0], HB_lzFAKBK, 5656925]
[ordered-list, [47.0, 209.0, 263.0, 18.0], HB_lzFAKBK, 5656925]
[ordered-list, [47.0, 227.0, 263.0, 18.0], HB_lzFAKBK, 5656925]
[paragraph, [333.0, 169.0, 261.0, 18.0], BjBnd52MuE, 5656925]
[paragraph, [333.0, 187.0, 261.0, 18.0], BjBnd52MuE, 5656925]
[paragraph, [333.0, 205.0, 261.0, 18.0], BjBnd52MuE, 5656925]
[paragraph, [333.0, 223.0, 261.0, 18.0], BjBnd52MuE, 5656925]
[paragraph, [333.0, 241.0, 261.0, 18.0], BjBnd52MuE, 5656925]
[paragraph, [333.0, 259.0, 261.0, 18.0], BjBnd52MuE, 5656925]
[paragraph, [333.0, 277.0, 261.0, 18.0], BjBnd52MuE, 5656925]
[paragraph, [333.0, 295.0, 261.0, 18.0], BjBnd52MuE, 5656925]
[paragraph, [333.0, 313.0, 261.0, 18.0], BjBnd52MuE, 5656925]
[paragraph, [333.0, 331.0, 261.0, 18.0], BjBnd52MuE, 5656925]
[paragraph, [333.0, 349.0, 261.0, 18.0], BjBnd52MuE, 5656925]
[paragraph, [82.0, 268.0, 223.0, 18.0], shoonya_1sBP7HG4AD0SPU, 5656925]
[paragraph, [82.0, 286.0, 223.0, 18.0], shoonya_1sBP7HG4AD0SPU, 5656925]
[paragraph, [82.0, 304.0, 223.0, 18.0], shoonya_1sBP7HG4AD0SPU, 5656925]
[paragraph, [82.0, 322.0, 223.0, 18.0], shoonya_1sBP7HG4AD0SPU, 5656925]
[paragraph, [82.0, 340.0, 223.0, 18.0], shoonya_1sBP7HG4AD0SPU, 5656925]
[paragraph, [82.0, 358.0, 223.0, 18.0], shoonya_1sBP7HG4AD0SPU, 5656925]
[paragraph, [359.0, 395.0, 222.0, 18.0], shoonya_6sS0DPKALK45UK, 5656925]
[paragraph, [359.0, 413.0, 222.0, 18.0], shoonya_6sS0DPKALK45UK, 5656925]
[paragraph, [359.0, 431.0, 222.0, 18.0], shoonya_6sS0DPKALK45UK, 5656925]
[ordered-list, [51.0, 402.0, 264.0, 18.0], shoonya_0sU1JUKLQK2JJZ, 5656925]
[ordered-list, [51.0, 420.0, 264.0, 18.0], shoonya_0sU1JUKLQK2JJZ, 5656925]
[ordered-list, [51.0, 438.0, 264.0, 18.0], shoonya_0sU1JUKLQK2JJZ, 5656925]
[ordered-list, [51.0, 456.0, 264.0, 18.0], shoonya_0sU1JUKLQK2JJZ, 5656925]
[ordered-list, [51.0, 474.0, 264.0, 18.0], shoonya_0sU1JUKLQK2JJZ, 5656925]
[ordered-list, [51.0, 492.0, 264.0, 18.0], shoonya_0sU1JUKLQK2JJZ, 5656925]
[ordered-list, [51.0, 510.0, 264.0, 18.0], shoonya_0sU1JUKLQK2JJZ, 5656925]
[paragraph, [351.0, 482.0, 233.0, 18.0], shoonya_16sJTQUZ2YU3EK, 5656925]
[paragraph, [351.0, 500.0, 233.0, 18.0], shoonya_16sJTQUZ2YU3EK, 5656925]
[paragraph, [351.0, 518.0, 233.0, 18.0], shoonya_16sJTQUZ2YU3EK, 5656925]
[paragraph, [351.0, 536.0, 233.0, 18.0], shoonya_16sJTQUZ2YU3EK, 5656925]
[paragraph, [351.0, 554.0, 233.0, 18.0], shoonya_16sJTQUZ2YU3EK, 5656925]
[paragraph, [83.0, 552.0, 223.0, 18.0], shoonya_18sCD57WY2IUWA, 5656925]
[paragraph, [83.0, 570.0, 223.0, 18.0], shoonya_18sCD57WY2IUWA, 5656925]
[paragraph, [83.0, 588.0, 223.0, 18.0], shoonya_18sCD57WY2IUWA, 5656925]
[paragraph, [83.0, 606.0, 223.0, 18.0], shoonya_18sCD57WY2IUWA, 5656925]
[paragraph, [345.0, 579.0, 248.0, 18.0], shoonya_12sAAJ9Q7ML08R, 5656925]
[paragraph, [345.0, 597.0, 248.0, 18.0], shoonya_12sAAJ9Q7ML08R, 5656925]
[paragraph, [345.0, 615.0, 248.0, 18.0], shoonya_12sAAJ9Q7ML08R, 5656925]
[paragraph, [345.0, 633.0, 248.0, 18.0], shoonya_12sAAJ9Q7ML08R, 5656925]
[paragraph, [345.0, 651.0, 248.0, 18.0], shoonya_12sAAJ9Q7ML08R, 5656925]
[paragraph, [345.0, 669.0, 248.0, 18.0], shoonya_12sAAJ9Q7ML08R, 5656925]
[paragraph, [345.0, 687.0, 248.0, 18.0], shoonya_12sAAJ9Q7ML08R, 5656925]
[paragraph, [345.0, 705.0, 248.0, 18.0], shoonya_12sAAJ9Q7ML08R, 5656925]
[paragraph, [345.0, 723.0, 248.0, 18.0], shoonya_12sAAJ9Q7ML08R, 5656925]
[paragraph, [62.0, 625.0, 249.0, 18.0], rAJjzhekzL, 5656925]
[paragraph, [62.0, 643.0, 249.0, 18.0], rAJjzhekzL, 5656925]
[paragraph, [62.0, 661.0, 249.0, 18.0], rAJjzhekzL, 5656925]
[paragraph, [58.0, 700.0, 253.0, 18.0], bVexzRgP_m, 5656925]
[paragraph, [58.0, 718.0, 253.0, 18.0], bVexzRgP_m, 5656925]
[paragraph, [58.0, 736.0, 253.0, 18.0], bVexzRgP_m, 5656925]
