[1298, 853]
[section-title, [315.0, 69.0, 224.0, 30.0], shoonya_4sEYKD0SH5HNFS, 5709920]
[paragraph, [58.0, 117.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 135.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 153.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 171.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 189.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 207.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 225.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 243.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 261.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 279.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 297.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 315.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 333.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 351.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 369.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 387.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 405.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 423.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 441.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [58.0, 459.0, 737.0, 18.0], shoonya_1s6CEG6HTRC86O, 5709920]
[paragraph, [64.0, 496.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 514.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 532.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 550.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 568.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 586.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 604.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 622.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 640.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 658.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 676.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 694.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 712.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 730.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 748.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 766.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 784.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 802.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 820.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 838.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 856.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 874.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 892.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 910.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 928.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 946.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[paragraph, [64.0, 964.0, 727.0, 18.0], shoonya_0sU2AYSP51SII8, 5709920]
[section-title, [173.0, 1033.0, 499.0, 30.0], shoonya_5s7OPWQ0JCSX4R, 5709920]
