[1347, 847]
[paragraph, [40.0, 31.0, 761.0, 18.0], YdXwEBFwNs, 5660262]
[paragraph, [40.0, 49.0, 761.0, 18.0], YdXwEBFwNs, 5660262]
[paragraph, [40.0, 67.0, 761.0, 18.0], YdXwEBFwNs, 5660262]
[paragraph, [40.0, 85.0, 761.0, 18.0], YdXwEBFwNs, 5660262]
[paragraph, [40.0, 103.0, 761.0, 18.0], YdXwEBFwNs, 5660262]
[paragraph, [40.0, 121.0, 761.0, 18.0], YdXwEBFwNs, 5660262]
[paragraph, [40.0, 139.0, 761.0, 18.0], YdXwEBFwNs, 5660262]
[paragraph, [40.0, 157.0, 761.0, 18.0], YdXwEBFwNs, 5660262]
[paragraph, [40.0, 175.0, 761.0, 18.0], YdXwEBFwNs, 5660262]
[paragraph, [40.0, 193.0, 761.0, 18.0], YdXwEBFwNs, 5660262]
[paragraph, [40.0, 211.0, 761.0, 18.0], YdXwEBFwNs, 5660262]
[paragraph, [40.0, 229.0, 761.0, 18.0], YdXwEBFwNs, 5660262]
[paragraph, [40.0, 247.0, 761.0, 18.0], YdXwEBFwNs, 5660262]
[paragraph, [40.0, 265.0, 761.0, 18.0], YdXwEBFwNs, 5660262]
[paragraph, [38.0, 293.0, 764.0, 18.0], KuwwuLXjDX, 5660262]
[paragraph, [38.0, 311.0, 764.0, 18.0], KuwwuLXjDX, 5660262]
[paragraph, [38.0, 329.0, 764.0, 18.0], KuwwuLXjDX, 5660262]
[paragraph, [38.0, 347.0, 764.0, 18.0], KuwwuLXjDX, 5660262]
[paragraph, [38.0, 365.0, 764.0, 18.0], KuwwuLXjDX, 5660262]
[paragraph, [38.0, 383.0, 764.0, 18.0], KuwwuLXjDX, 5660262]
[paragraph, [38.0, 401.0, 764.0, 18.0], KuwwuLXjDX, 5660262]
[paragraph, [38.0, 419.0, 764.0, 18.0], KuwwuLXjDX, 5660262]
[paragraph, [38.0, 437.0, 764.0, 18.0], KuwwuLXjDX, 5660262]
[paragraph, [36.0, 474.0, 770.0, 18.0], k6G-AIWFWT, 5660262]
[paragraph, [36.0, 492.0, 770.0, 18.0], k6G-AIWFWT, 5660262]
[paragraph, [36.0, 510.0, 770.0, 18.0], k6G-AIWFWT, 5660262]
[paragraph, [36.0, 528.0, 770.0, 18.0], k6G-AIWFWT, 5660262]
[paragraph, [36.0, 546.0, 770.0, 18.0], k6G-AIWFWT, 5660262]
[paragraph, [36.0, 564.0, 770.0, 18.0], k6G-AIWFWT, 5660262]
[paragraph, [36.0, 582.0, 770.0, 18.0], k6G-AIWFWT, 5660262]
[paragraph, [45.0, 619.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 637.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 655.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 673.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 691.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 709.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 727.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 745.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 763.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 781.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 799.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 817.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 835.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 853.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 871.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 889.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 907.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 925.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 943.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 961.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [45.0, 979.0, 756.0, 18.0], cIvMzQVCbz, 5660262]
[paragraph, [42.0, 1012.0, 764.0, 18.0], PlchrTIA7a, 5660262]
[paragraph, [42.0, 1030.0, 764.0, 18.0], PlchrTIA7a, 5660262]
[paragraph, [42.0, 1048.0, 764.0, 18.0], PlchrTIA7a, 5660262]
[paragraph, [42.0, 1066.0, 764.0, 18.0], PlchrTIA7a, 5660262]
[paragraph, [42.0, 1084.0, 764.0, 18.0], PlchrTIA7a, 5660262]
[paragraph, [42.0, 1102.0, 764.0, 18.0], PlchrTIA7a, 5660262]
[paragraph, [42.0, 1120.0, 764.0, 18.0], PlchrTIA7a, 5660262]
[paragraph, [42.0, 1138.0, 764.0, 18.0], PlchrTIA7a, 5660262]
[paragraph, [42.0, 1156.0, 764.0, 18.0], PlchrTIA7a, 5660262]
[paragraph, [42.0, 1174.0, 764.0, 18.0], PlchrTIA7a, 5660262]
[author, [39.0, 1214.0, 191.0, 18.0], XTgioZOq6T, 5660262]
[author, [39.0, 1232.0, 191.0, 18.0], XTgioZOq6T, 5660262]
[folio, [6.0, 1264.0, 840.0, 18.0], shoonya_1s5XU4ZQXCV02X, 5660262]
[folio, [6.0, 1282.0, 840.0, 18.0], shoonya_1s5XU4ZQXCV02X, 5660262]
[folio, [6.0, 1300.0, 840.0, 18.0], shoonya_1s5XU4ZQXCV02X, 5660262]
[website-link, [490.0, 1302.0, 201.0, 18.0], jsRnhLsM5O, 5660262]
[website-link, [158.0, 1303.0, 225.0, 18.0], shoonya_0s14UKFZNRHYC6, 5660262]
