[792, 612]
[headline, [171.0, 16.0, 284.0, 25.5], 3X0SqyjCFw, 6491063]
[headline, [171.0, 41.5, 284.0, 25.5], 3X0SqyjCFw, 6491063]
[paragraph, [81.0, 96.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 114.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 132.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 150.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 168.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 186.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 204.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 222.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 240.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 258.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 276.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 294.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 312.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 330.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 348.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 366.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 384.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 402.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 420.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 438.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 456.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 474.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 492.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 510.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [81.0, 528.0, 481.0, 18.0], shoonya_0sTUMRE0MFUS3W, 6491063]
[paragraph, [80.0, 567.0, 479.0, 18.0], shoonya_1sIZ7IDWIO5S30, 6491063]
[paragraph, [80.0, 585.0, 479.0, 18.0], shoonya_1sIZ7IDWIO5S30, 6491063]
[paragraph, [80.0, 603.0, 479.0, 18.0], shoonya_1sIZ7IDWIO5S30, 6491063]
[paragraph, [80.0, 621.0, 479.0, 18.0], shoonya_1sIZ7IDWIO5S30, 6491063]
[paragraph, [80.0, 639.0, 479.0, 18.0], shoonya_1sIZ7IDWIO5S30, 6491063]
[paragraph, [80.0, 657.0, 479.0, 18.0], shoonya_1sIZ7IDWIO5S30, 6491063]
