[1755, 1240]
[paragraph, [176.0, 182.0, 894.0, 36.0], w1QOIcoLin, 5704551]
[paragraph, [176.0, 218.0, 894.0, 36.0], w1QOIcoLin, 5704551]
[paragraph, [176.0, 254.0, 894.0, 36.0], w1QOIcoLin, 5704551]
[paragraph, [176.0, 290.0, 894.0, 36.0], w1QOIcoLin, 5704551]
[paragraph, [181.0, 384.0, 877.0, 36.0], shoonya_0sSPSBB2GJAUWY, 5704551]
[paragraph, [181.0, 420.0, 877.0, 36.0], shoonya_0sSPSBB2GJAUWY, 5704551]
[paragraph, [181.0, 456.0, 877.0, 36.0], shoonya_0sSPSBB2GJAUWY, 5704551]
[paragraph, [181.0, 492.0, 877.0, 36.0], shoonya_0sSPSBB2GJAUWY, 5704551]
[paragraph, [181.0, 528.0, 877.0, 36.0], shoonya_0sSPSBB2GJAUWY, 5704551]
[paragraph, [181.0, 564.0, 877.0, 36.0], shoonya_0sSPSBB2GJAUWY, 5704551]
[paragraph, [181.0, 600.0, 877.0, 36.0], shoonya_0sSPSBB2GJAUWY, 5704551]
[paragraph, [181.0, 636.0, 877.0, 36.0], shoonya_0sSPSBB2GJAUWY, 5704551]
[paragraph, [181.0, 672.0, 877.0, 36.0], shoonya_0sSPSBB2GJAUWY, 5704551]
[paragraph, [174.0, 731.0, 883.0, 36.0], 8I4OLe4rRZ, 5704551]
[paragraph, [174.0, 767.0, 883.0, 36.0], 8I4OLe4rRZ, 5704551]
[paragraph, [174.0, 803.0, 883.0, 36.0], 8I4OLe4rRZ, 5704551]
[paragraph, [174.0, 839.0, 883.0, 36.0], 8I4OLe4rRZ, 5704551]
[paragraph, [174.0, 875.0, 883.0, 36.0], 8I4OLe4rRZ, 5704551]
[paragraph, [179.0, 945.0, 882.0, 36.0], shoonya_1sRNI93KSFU0V3, 5704551]
[paragraph, [179.0, 981.0, 882.0, 36.0], shoonya_1sRNI93KSFU0V3, 5704551]
[paragraph, [179.0, 1017.0, 882.0, 36.0], shoonya_1sRNI93KSFU0V3, 5704551]
[paragraph, [179.0, 1053.0, 882.0, 36.0], shoonya_1sRNI93KSFU0V3, 5704551]
[paragraph, [179.0, 1089.0, 882.0, 36.0], shoonya_1sRNI93KSFU0V3, 5704551]
[paragraph, [179.0, 1125.0, 882.0, 36.0], shoonya_1sRNI93KSFU0V3, 5704551]
[paragraph, [179.0, 1161.0, 882.0, 36.0], shoonya_1sRNI93KSFU0V3, 5704551]
[paragraph, [179.0, 1197.0, 882.0, 36.0], shoonya_1sRNI93KSFU0V3, 5704551]
[paragraph, [179.0, 1233.0, 882.0, 36.0], shoonya_1sRNI93KSFU0V3, 5704551]
[paragraph, [171.0, 1307.0, 907.0, 36.0], pf_V76uhsk, 5704551]
[paragraph, [171.0, 1343.0, 907.0, 36.0], pf_V76uhsk, 5704551]
[paragraph, [171.0, 1379.0, 907.0, 36.0], pf_V76uhsk, 5704551]
[paragraph, [171.0, 1415.0, 907.0, 36.0], pf_V76uhsk, 5704551]
[paragraph, [171.0, 1451.0, 907.0, 36.0], pf_V76uhsk, 5704551]
[paragraph, [171.0, 1487.0, 907.0, 36.0], pf_V76uhsk, 5704551]
[paragraph, [171.0, 1523.0, 907.0, 36.0], pf_V76uhsk, 5704551]
