[1755, 1240]
[section-title, [449.0, 111.0, 336.0, 49.5], 27ZL2cntKg, 5781060]
[sub-section-title, [386.0, 216.0, 463.0, 36.0], shoonya_6sMC42IGQQN968, 5781060]
[paragraph, [110.0, 344.0, 1001.0, 36.0], zH7Cb-1oe1, 5781060]
[paragraph, [110.0, 380.0, 1001.0, 36.0], zH7Cb-1oe1, 5781060]
[paragraph, [110.0, 416.0, 1001.0, 36.0], zH7Cb-1oe1, 5781060]
[paragraph, [110.0, 452.0, 1001.0, 36.0], zH7Cb-1oe1, 5781060]
[paragraph, [110.0, 488.0, 1001.0, 36.0], zH7Cb-1oe1, 5781060]
[paragraph, [110.0, 524.0, 1001.0, 36.0], zH7Cb-1oe1, 5781060]
[paragraph, [110.0, 560.0, 1001.0, 36.0], zH7Cb-1oe1, 5781060]
[paragraph, [110.0, 596.0, 1001.0, 36.0], zH7Cb-1oe1, 5781060]
[unordered-list, [133.0, 776.0, 714.0, 36.0], shoonya_0s3JCAENWXSNGN, 5781060]
[unordered-list, [133.0, 812.0, 714.0, 36.0], shoonya_0s3JCAENWXSNGN, 5781060]
[unordered-list, [133.0, 848.0, 714.0, 36.0], shoonya_0s3JCAENWXSNGN, 5781060]
[unordered-list, [133.0, 884.0, 714.0, 36.0], shoonya_0s3JCAENWXSNGN, 5781060]
[unordered-list, [133.0, 920.0, 714.0, 36.0], shoonya_0s3JCAENWXSNGN, 5781060]
[unordered-list, [133.0, 956.0, 714.0, 36.0], shoonya_0s3JCAENWXSNGN, 5781060]
[unordered-list, [134.0, 1158.0, 690.0, 36.0], shoonya_1sSEJPGFW6SVGL, 5781060]
[unordered-list, [134.0, 1194.0, 690.0, 36.0], shoonya_1sSEJPGFW6SVGL, 5781060]
[unordered-list, [134.0, 1230.0, 690.0, 36.0], shoonya_1sSEJPGFW6SVGL, 5781060]
[unordered-list, [134.0, 1266.0, 690.0, 36.0], shoonya_1sSEJPGFW6SVGL, 5781060]
[unordered-list, [134.0, 1302.0, 690.0, 36.0], shoonya_1sSEJPGFW6SVGL, 5781060]
[unordered-list, [134.0, 1338.0, 690.0, 36.0], shoonya_1sSEJPGFW6SVGL, 5781060]
[unordered-list, [134.0, 1374.0, 690.0, 36.0], shoonya_1sSEJPGFW6SVGL, 5781060]
[unordered-list, [131.0, 1541.0, 663.0, 36.0], shoonya_3sPKV9UUFCN7E5, 5781060]
