[2096, 1516]
[section-title, [37.0, 131.0, 977.0, 52.5], shoonya_9sVDWE0CXR5MIL, 5713142]
[paragraph, [751.0, 246.0, 733.0, 36.0], shoonya_13sWA3UIEEL8M0, 5713142]
[paragraph, [751.0, 282.0, 733.0, 36.0], shoonya_13sWA3UIEEL8M0, 5713142]
[paragraph, [751.0, 318.0, 733.0, 36.0], shoonya_13sWA3UIEEL8M0, 5713142]
[paragraph, [751.0, 354.0, 733.0, 36.0], shoonya_13sWA3UIEEL8M0, 5713142]
[paragraph, [751.0, 390.0, 733.0, 36.0], shoonya_13sWA3UIEEL8M0, 5713142]
[paragraph, [751.0, 426.0, 733.0, 36.0], shoonya_13sWA3UIEEL8M0, 5713142]
[paragraph, [423.0, 313.0, 333.0, 36.0], shoonya_1sKO376WN7MC5X, 5713142]
[paragraph, [423.0, 349.0, 333.0, 36.0], shoonya_1sKO376WN7MC5X, 5713142]
[paragraph, [423.0, 385.0, 333.0, 36.0], shoonya_1sKO376WN7MC5X, 5713142]
[paragraph, [423.0, 421.0, 333.0, 36.0], shoonya_1sKO376WN7MC5X, 5713142]
[paragraph, [423.0, 457.0, 333.0, 36.0], shoonya_1sKO376WN7MC5X, 5713142]
[paragraph, [423.0, 493.0, 333.0, 36.0], shoonya_1sKO376WN7MC5X, 5713142]
[paragraph, [423.0, 529.0, 333.0, 36.0], shoonya_1sKO376WN7MC5X, 5713142]
[paragraph, [423.0, 565.0, 333.0, 36.0], shoonya_1sKO376WN7MC5X, 5713142]
[paragraph, [423.0, 601.0, 333.0, 36.0], shoonya_1sKO376WN7MC5X, 5713142]
[paragraph, [423.0, 637.0, 333.0, 36.0], shoonya_1sKO376WN7MC5X, 5713142]
[paragraph, [423.0, 673.0, 333.0, 36.0], shoonya_1sKO376WN7MC5X, 5713142]
[paragraph, [759.0, 487.0, 709.0, 36.0], shoonya_12sVA0AEHD18LM, 5713142]
[paragraph, [757.0, 532.0, 507.0, 36.0], 2BHo0_NbmF, 5713142]
[paragraph, [757.0, 568.0, 507.0, 36.0], 2BHo0_NbmF, 5713142]
[paragraph, [757.0, 604.0, 507.0, 36.0], 2BHo0_NbmF, 5713142]
