[792, 550]
[headline, [26.0, 37.0, 507.0, 25.5], shoonya_0sJEHFF78D5E07, 5772537]
[section-title, [172.0, 85.0, 169.0, 30.0], XaGnRUhFLn, 5772537]
[ordered-list, [9.0, 119.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 137.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 155.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 173.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 191.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 209.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 227.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 245.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 263.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 281.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 299.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 317.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 335.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 353.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 371.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 389.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 407.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 425.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 443.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 461.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 479.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 497.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 515.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 533.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 551.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 569.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 587.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 605.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 623.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 641.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 659.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 677.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 695.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[ordered-list, [9.0, 713.0, 507.0, 18.0], -9QH_yq-kw, 5772537]
[sub-ordered-list, [22.0, 555.0, 477.0, 18.0], E06MeFytvF, 5772537]
[sub-ordered-list, [22.0, 573.0, 477.0, 18.0], E06MeFytvF, 5772537]
[sub-ordered-list, [22.0, 591.0, 477.0, 18.0], E06MeFytvF, 5772537]
[sub-ordered-list, [22.0, 609.0, 477.0, 18.0], E06MeFytvF, 5772537]
[sub-ordered-list, [22.0, 627.0, 477.0, 18.0], E06MeFytvF, 5772537]
[reference, [7.0, 667.0, 483.0, 18.0], Y8graxjqgT, 5772537]
[reference, [7.0, 685.0, 483.0, 18.0], Y8graxjqgT, 5772537]
[reference, [7.0, 703.0, 483.0, 18.0], Y8graxjqgT, 5772537]
