[853, 552]
[paragraph, [62.0, 90.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 108.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 126.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 144.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 162.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 180.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 198.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 216.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 234.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 252.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 270.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 288.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 306.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 324.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 342.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 360.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 378.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 396.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 414.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [62.0, 432.0, 430.0, 18.0], shoonya_0sVQIU14XEMKFJ, 5774072]
[paragraph, [61.0, 477.0, 428.0, 18.0], shoonya_1sB72DDU8QAQKH, 5774072]
[paragraph, [61.0, 495.0, 428.0, 18.0], shoonya_1sB72DDU8QAQKH, 5774072]
[paragraph, [61.0, 513.0, 428.0, 18.0], shoonya_1sB72DDU8QAQKH, 5774072]
[paragraph, [61.0, 531.0, 428.0, 18.0], shoonya_1sB72DDU8QAQKH, 5774072]
[paragraph, [61.0, 549.0, 428.0, 18.0], shoonya_1sB72DDU8QAQKH, 5774072]
[paragraph, [61.0, 567.0, 428.0, 18.0], shoonya_1sB72DDU8QAQKH, 5774072]
[paragraph, [61.0, 585.0, 428.0, 18.0], shoonya_1sB72DDU8QAQKH, 5774072]
[paragraph, [61.0, 603.0, 428.0, 18.0], shoonya_1sB72DDU8QAQKH, 5774072]
[paragraph, [61.0, 621.0, 428.0, 18.0], shoonya_1sB72DDU8QAQKH, 5774072]
[paragraph, [61.0, 639.0, 428.0, 18.0], shoonya_1sB72DDU8QAQKH, 5774072]
[paragraph, [61.0, 657.0, 428.0, 18.0], shoonya_1sB72DDU8QAQKH, 5774072]
[paragraph, [61.0, 675.0, 428.0, 18.0], shoonya_1sB72DDU8QAQKH, 5774072]
[paragraph, [61.0, 693.0, 428.0, 18.0], shoonya_1sB72DDU8QAQKH, 5774072]
