[2339, 1653]
[paragraph, [235.0, 189.0, 1176.0, 36.0], shoonya_0sHOWZPCHQMGJ2, 5753870]
[paragraph, [235.0, 225.0, 1176.0, 36.0], shoonya_0sHOWZPCHQMGJ2, 5753870]
[paragraph, [235.0, 261.0, 1176.0, 36.0], shoonya_0sHOWZPCHQMGJ2, 5753870]
[paragraph, [235.0, 297.0, 1176.0, 36.0], shoonya_0sHOWZPCHQMGJ2, 5753870]
[paragraph, [235.0, 333.0, 1176.0, 36.0], shoonya_0sHOWZPCHQMGJ2, 5753870]
[paragraph, [235.0, 369.0, 1176.0, 36.0], shoonya_0sHOWZPCHQMGJ2, 5753870]
[paragraph, [235.0, 405.0, 1176.0, 36.0], shoonya_0sHOWZPCHQMGJ2, 5753870]
[paragraph, [235.0, 441.0, 1176.0, 36.0], shoonya_0sHOWZPCHQMGJ2, 5753870]
[paragraph, [235.0, 477.0, 1176.0, 36.0], shoonya_0sHOWZPCHQMGJ2, 5753870]
[paragraph, [235.0, 513.0, 1176.0, 36.0], shoonya_0sHOWZPCHQMGJ2, 5753870]
[paragraph, [235.0, 549.0, 1176.0, 36.0], shoonya_0sHOWZPCHQMGJ2, 5753870]
[paragraph, [235.0, 585.0, 1176.0, 36.0], shoonya_0sHOWZPCHQMGJ2, 5753870]
[paragraph, [235.0, 621.0, 1176.0, 36.0], shoonya_0sHOWZPCHQMGJ2, 5753870]
[paragraph, [513.0, 741.0, 420.0, 36.0], 9Gwtj4Ogrv, 5753870]
[paragraph, [513.0, 777.0, 420.0, 36.0], 9Gwtj4Ogrv, 5753870]
[paragraph, [513.0, 813.0, 420.0, 36.0], 9Gwtj4Ogrv, 5753870]
[paragraph, [513.0, 849.0, 420.0, 36.0], 9Gwtj4Ogrv, 5753870]
[paragraph, [513.0, 885.0, 420.0, 36.0], 9Gwtj4Ogrv, 5753870]
[paragraph, [513.0, 921.0, 420.0, 36.0], 9Gwtj4Ogrv, 5753870]
[paragraph, [513.0, 957.0, 420.0, 36.0], 9Gwtj4Ogrv, 5753870]
[paragraph, [513.0, 993.0, 420.0, 36.0], 9Gwtj4Ogrv, 5753870]
[paragraph, [513.0, 1029.0, 420.0, 36.0], 9Gwtj4Ogrv, 5753870]
[paragraph, [513.0, 1065.0, 420.0, 36.0], 9Gwtj4Ogrv, 5753870]
[paragraph, [513.0, 1101.0, 420.0, 36.0], 9Gwtj4Ogrv, 5753870]
[paragraph, [239.0, 1217.0, 1177.0, 36.0], shoonya_1sKQJZ04ZQD0DH, 5753870]
[paragraph, [239.0, 1253.0, 1177.0, 36.0], shoonya_1sKQJZ04ZQD0DH, 5753870]
[paragraph, [239.0, 1289.0, 1177.0, 36.0], shoonya_1sKQJZ04ZQD0DH, 5753870]
[paragraph, [239.0, 1325.0, 1177.0, 36.0], shoonya_1sKQJZ04ZQD0DH, 5753870]
[paragraph, [239.0, 1361.0, 1177.0, 36.0], shoonya_1sKQJZ04ZQD0DH, 5753870]
[paragraph, [239.0, 1397.0, 1177.0, 36.0], shoonya_1sKQJZ04ZQD0DH, 5753870]
[paragraph, [239.0, 1433.0, 1177.0, 36.0], shoonya_1sKQJZ04ZQD0DH, 5753870]
[paragraph, [239.0, 1469.0, 1177.0, 36.0], shoonya_1sKQJZ04ZQD0DH, 5753870]
[paragraph, [239.0, 1505.0, 1177.0, 36.0], shoonya_1sKQJZ04ZQD0DH, 5753870]
[paragraph, [239.0, 1541.0, 1177.0, 36.0], shoonya_1sKQJZ04ZQD0DH, 5753870]
[paragraph, [239.0, 1577.0, 1177.0, 36.0], shoonya_1sKQJZ04ZQD0DH, 5753870]
[paragraph, [239.0, 1613.0, 1177.0, 36.0], shoonya_1sKQJZ04ZQD0DH, 5753870]
[paragraph, [239.0, 1649.0, 1177.0, 36.0], shoonya_1sKQJZ04ZQD0DH, 5753870]
[paragraph, [239.0, 1685.0, 1177.0, 36.0], shoonya_1sKQJZ04ZQD0DH, 5753870]
[paragraph, [504.0, 1757.0, 770.0, 36.0], shoonya_3sVDJGE7NS2T1R, 5753870]
[paragraph, [504.0, 1793.0, 770.0, 36.0], shoonya_3sVDJGE7NS2T1R, 5753870]
[paragraph, [504.0, 1829.0, 770.0, 36.0], shoonya_3sVDJGE7NS2T1R, 5753870]
[paragraph, [504.0, 1865.0, 770.0, 36.0], shoonya_3sVDJGE7NS2T1R, 5753870]
[paragraph, [504.0, 1901.0, 770.0, 36.0], shoonya_3sVDJGE7NS2T1R, 5753870]
[reference, [239.0, 2037.0, 394.0, 36.0], IpxrY09Z8V, 5753870]
[reference, [239.0, 2073.0, 394.0, 36.0], IpxrY09Z8V, 5753870]
