[1152, 739]
[paragraph, [91.0, 173.0, 547.0, 18.0], M2DJKEMA1M, 5741247]
[paragraph, [91.0, 191.0, 547.0, 18.0], M2DJKEMA1M, 5741247]
[paragraph, [91.0, 209.0, 547.0, 18.0], M2DJKEMA1M, 5741247]
[paragraph, [91.0, 227.0, 547.0, 18.0], M2DJKEMA1M, 5741247]
[paragraph, [91.0, 245.0, 547.0, 18.0], M2DJKEMA1M, 5741247]
[paragraph, [91.0, 263.0, 547.0, 18.0], M2DJKEMA1M, 5741247]
[paragraph, [91.0, 281.0, 547.0, 18.0], M2DJKEMA1M, 5741247]
[paragraph, [91.0, 299.0, 547.0, 18.0], M2DJKEMA1M, 5741247]
[paragraph, [90.0, 324.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 342.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 360.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 378.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 396.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 414.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 432.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 450.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 468.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 486.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 504.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 522.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 540.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 558.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 576.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 594.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 612.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 630.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 648.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 666.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 684.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 702.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 720.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 738.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 756.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 774.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 792.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 810.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 828.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 846.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 864.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 882.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 900.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 918.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 936.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 954.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 972.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 990.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[paragraph, [90.0, 1008.0, 551.0, 18.0], V40RP4DcI9, 5741247]
[footnote, [422.0, 1111.0, 263.0, 18.0], X_ytrgwSk3, 5741247]
