[2200, 1700]
[chapter-title, [555.0, 443.0, 544.0, 70.5], shoonya_2sTYV1GOLVB0I7, 5730959]
[chapter-title, [555.0, 513.5, 544.0, 70.5], shoonya_2sTYV1GOLVB0I7, 5730959]
[paragraph, [965.0, 666.0, 427.0, 36.0], fL3NGvHpXV, 5730959]
[paragraph, [965.0, 702.0, 427.0, 36.0], fL3NGvHpXV, 5730959]
[paragraph, [965.0, 738.0, 427.0, 36.0], fL3NGvHpXV, 5730959]
[paragraph, [965.0, 774.0, 427.0, 36.0], fL3NGvHpXV, 5730959]
[paragraph, [965.0, 810.0, 427.0, 36.0], fL3NGvHpXV, 5730959]
[section-title, [554.0, 1039.0, 566.0, 52.5], shoonya_1sPQ6DBHRDF9JT, 5730959]
[paragraph, [310.0, 1146.0, 1073.0, 36.0], shoonya_0sO5SOYPIA797Y, 5730959]
[paragraph, [310.0, 1182.0, 1073.0, 36.0], shoonya_0sO5SOYPIA797Y, 5730959]
[paragraph, [310.0, 1218.0, 1073.0, 36.0], shoonya_0sO5SOYPIA797Y, 5730959]
[paragraph, [310.0, 1254.0, 1073.0, 36.0], shoonya_0sO5SOYPIA797Y, 5730959]
[paragraph, [310.0, 1290.0, 1073.0, 36.0], shoonya_0sO5SOYPIA797Y, 5730959]
[paragraph, [310.0, 1326.0, 1073.0, 36.0], shoonya_0sO5SOYPIA797Y, 5730959]
[paragraph, [310.0, 1362.0, 1073.0, 36.0], shoonya_0sO5SOYPIA797Y, 5730959]
[paragraph, [310.0, 1398.0, 1073.0, 36.0], shoonya_0sO5SOYPIA797Y, 5730959]
[paragraph, [310.0, 1434.0, 1073.0, 36.0], shoonya_0sO5SOYPIA797Y, 5730959]
[paragraph, [310.0, 1470.0, 1073.0, 36.0], shoonya_0sO5SOYPIA797Y, 5730959]
[paragraph, [310.0, 1506.0, 1073.0, 36.0], shoonya_0sO5SOYPIA797Y, 5730959]
[paragraph, [310.0, 1542.0, 1073.0, 36.0], shoonya_0sO5SOYPIA797Y, 5730959]
[paragraph, [310.0, 1578.0, 1073.0, 36.0], shoonya_0sO5SOYPIA797Y, 5730959]
[paragraph, [310.0, 1614.0, 1073.0, 36.0], shoonya_0sO5SOYPIA797Y, 5730959]
[paragraph, [310.0, 1650.0, 1073.0, 36.0], shoonya_0sO5SOYPIA797Y, 5730959]
[paragraph, [432.0, 1714.0, 946.0, 36.0], GCfj7eyZtv, 5730959]
[paragraph, [432.0, 1750.0, 946.0, 36.0], GCfj7eyZtv, 5730959]
[footnote, [318.0, 1834.0, 1067.0, 36.0], RQm_vkERhI, 5730959]
[footnote, [318.0, 1870.0, 1067.0, 36.0], RQm_vkERhI, 5730959]
[footnote, [318.0, 1906.0, 1067.0, 36.0], RQm_vkERhI, 5730959]
[folio, [1003.0, 2006.0, 333.0, 36.0], 9ippLsbmn6, 5730959]
