[1755, 1240]
[paragraph, [226.0, 233.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 269.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 305.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 341.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 377.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 413.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 449.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 485.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 521.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 557.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 593.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 629.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 665.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 701.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 737.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 773.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 809.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 845.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 881.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 917.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 953.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [226.0, 989.0, 785.0, 36.0], shoonya_1sVKPWK89HMIU8, 5744364]
[paragraph, [228.0, 1040.0, 782.0, 36.0], shoonya_0sIROS3XR0ZT5P, 5744364]
[paragraph, [228.0, 1076.0, 782.0, 36.0], shoonya_0sIROS3XR0ZT5P, 5744364]
[paragraph, [228.0, 1112.0, 782.0, 36.0], shoonya_0sIROS3XR0ZT5P, 5744364]
[paragraph, [228.0, 1148.0, 782.0, 36.0], shoonya_0sIROS3XR0ZT5P, 5744364]
[paragraph, [228.0, 1184.0, 782.0, 36.0], shoonya_0sIROS3XR0ZT5P, 5744364]
[paragraph, [228.0, 1220.0, 782.0, 36.0], shoonya_0sIROS3XR0ZT5P, 5744364]
[paragraph, [228.0, 1256.0, 782.0, 36.0], shoonya_0sIROS3XR0ZT5P, 5744364]
[paragraph, [228.0, 1292.0, 782.0, 36.0], shoonya_0sIROS3XR0ZT5P, 5744364]
[paragraph, [228.0, 1328.0, 782.0, 36.0], shoonya_0sIROS3XR0ZT5P, 5744364]
[paragraph, [228.0, 1364.0, 782.0, 36.0], shoonya_0sIROS3XR0ZT5P, 5744364]
[paragraph, [228.0, 1400.0, 782.0, 36.0], shoonya_0sIROS3XR0ZT5P, 5744364]
[paragraph, [228.0, 1436.0, 782.0, 36.0], shoonya_0sIROS3XR0ZT5P, 5744364]
[folio, [311.0, 1498.0, 536.0, 36.0], 0OpuxXjbP6, 5744364]
