[1650, 1275]
[chapter-title, [320.0, 286.0, 551.0, 58.5], shoonya_2s7IHB8TNOSRZO, 5759590]
[chapter-title, [320.0, 344.5, 551.0, 58.5], shoonya_2s7IHB8TNOSRZO, 5759590]
[paragraph, [425.0, 492.0, 454.0, 36.0], shoonya_1s0OORK5UKHOTP, 5759590]
[paragraph, [425.0, 528.0, 454.0, 36.0], shoonya_1s0OORK5UKHOTP, 5759590]
[paragraph, [425.0, 564.0, 454.0, 36.0], shoonya_1s0OORK5UKHOTP, 5759590]
[paragraph, [425.0, 600.0, 454.0, 36.0], shoonya_1s0OORK5UKHOTP, 5759590]
[paragraph, [425.0, 636.0, 454.0, 36.0], shoonya_1s0OORK5UKHOTP, 5759590]
[paragraph, [419.0, 714.0, 455.0, 36.0], ybnC6quaub, 5759590]
[paragraph, [419.0, 750.0, 455.0, 36.0], ybnC6quaub, 5759590]
[paragraph, [419.0, 786.0, 455.0, 36.0], ybnC6quaub, 5759590]
[paragraph, [419.0, 822.0, 455.0, 36.0], ybnC6quaub, 5759590]
[paragraph, [419.0, 858.0, 455.0, 36.0], ybnC6quaub, 5759590]
[paragraph, [419.0, 894.0, 455.0, 36.0], ybnC6quaub, 5759590]
[paragraph, [420.0, 975.0, 466.0, 36.0], xhnAUWkB7J, 5759590]
[paragraph, [420.0, 1011.0, 466.0, 36.0], xhnAUWkB7J, 5759590]
[paragraph, [420.0, 1047.0, 466.0, 36.0], xhnAUWkB7J, 5759590]
[paragraph, [420.0, 1083.0, 466.0, 36.0], xhnAUWkB7J, 5759590]
[paragraph, [420.0, 1119.0, 466.0, 36.0], xhnAUWkB7J, 5759590]
[paragraph, [420.0, 1155.0, 466.0, 36.0], xhnAUWkB7J, 5759590]
[paragraph, [420.0, 1191.0, 466.0, 36.0], xhnAUWkB7J, 5759590]
