[1447, 1063]
[section-title, [244.0, 42.0, 571.0, 30.0], YOFsiS6rk-, 5762938]
[section-title, [244.0, 72.0, 571.0, 30.0], YOFsiS6rk-, 5762938]
[section-title, [244.0, 102.0, 571.0, 30.0], YOFsiS6rk-, 5762938]
[section-title, [244.0, 132.0, 571.0, 30.0], YOFsiS6rk-, 5762938]
[section-title, [244.0, 162.0, 571.0, 30.0], YOFsiS6rk-, 5762938]
[section-title, [267.0, 225.0, 425.0, 30.0], uz9CcpO7bN, 5762938]
[folio, [694.0, 232.0, 112.0, 18.0], EUApJijlBz, 5762938]
[folio, [694.0, 250.0, 112.0, 18.0], EUApJijlBz, 5762938]
[folio, [694.0, 268.0, 112.0, 18.0], EUApJijlBz, 5762938]
[folio, [35.0, 308.0, 248.0, 18.0], AlmMPLPpHG, 5762938]
[folio, [35.0, 326.0, 248.0, 18.0], AlmMPLPpHG, 5762938]
[folio, [39.0, 346.0, 979.0, 18.0], jsU_AhvZ5T, 5762938]
[folio, [461.0, 645.0, 560.0, 18.0], shoonya_2s19FEURW2YRUV, 5762938]
[folio, [461.0, 663.0, 560.0, 18.0], shoonya_2s19FEURW2YRUV, 5762938]
[folio, [461.0, 681.0, 560.0, 18.0], shoonya_2s19FEURW2YRUV, 5762938]
[folio, [461.0, 699.0, 560.0, 18.0], shoonya_2s19FEURW2YRUV, 5762938]
[folio, [461.0, 717.0, 560.0, 18.0], shoonya_2s19FEURW2YRUV, 5762938]
[folio, [461.0, 735.0, 560.0, 18.0], shoonya_2s19FEURW2YRUV, 5762938]
[folio, [461.0, 753.0, 560.0, 18.0], shoonya_2s19FEURW2YRUV, 5762938]
[folio, [461.0, 771.0, 560.0, 18.0], shoonya_2s19FEURW2YRUV, 5762938]
[folio, [461.0, 789.0, 560.0, 18.0], shoonya_2s19FEURW2YRUV, 5762938]
[folio, [461.0, 807.0, 560.0, 18.0], shoonya_2s19FEURW2YRUV, 5762938]
[folio, [461.0, 825.0, 560.0, 18.0], shoonya_2s19FEURW2YRUV, 5762938]
[folio, [461.0, 843.0, 560.0, 18.0], shoonya_2s19FEURW2YRUV, 5762938]
[folio, [461.0, 861.0, 560.0, 18.0], shoonya_2s19FEURW2YRUV, 5762938]
[folio, [461.0, 879.0, 560.0, 18.0], shoonya_2s19FEURW2YRUV, 5762938]
[folio, [461.0, 897.0, 560.0, 18.0], shoonya_2s19FEURW2YRUV, 5762938]
[folio, [461.0, 915.0, 560.0, 18.0], shoonya_2s19FEURW2YRUV, 5762938]
[folio, [461.0, 933.0, 560.0, 18.0], shoonya_2s19FEURW2YRUV, 5762938]
[dateline, [554.0, 1037.0, 357.0, 64.5], shoonya_6sJZU79KFKD2VU, 5762938]
[website-link, [51.0, 1366.0, 486.0, 18.0], shoonya_5s9DITANE1X166, 5762938]
