[2084, 1289]
[paragraph, [127.0, 272.0, 1037.0, 36.0], shoonya_0sICZ3SMRO5VCQ, 5661102]
[paragraph, [127.0, 308.0, 1037.0, 36.0], shoonya_0sICZ3SMRO5VCQ, 5661102]
[paragraph, [127.0, 344.0, 1037.0, 36.0], shoonya_0sICZ3SMRO5VCQ, 5661102]
[paragraph, [127.0, 380.0, 1037.0, 36.0], shoonya_0sICZ3SMRO5VCQ, 5661102]
[paragraph, [127.0, 416.0, 1037.0, 36.0], shoonya_0sICZ3SMRO5VCQ, 5661102]
[paragraph, [127.0, 452.0, 1037.0, 36.0], shoonya_0sICZ3SMRO5VCQ, 5661102]
[paragraph, [127.0, 488.0, 1037.0, 36.0], shoonya_0sICZ3SMRO5VCQ, 5661102]
[section-title, [540.0, 560.0, 194.0, 52.5], shoonya_4sB0R2WMJ0SCAL, 5661102]
[ordered-list, [129.0, 651.0, 1033.0, 36.0], shoonya_1sVQRSD6UDQJL5, 5661102]
[ordered-list, [129.0, 687.0, 1033.0, 36.0], shoonya_1sVQRSD6UDQJL5, 5661102]
[ordered-list, [129.0, 723.0, 1033.0, 36.0], shoonya_1sVQRSD6UDQJL5, 5661102]
[ordered-list, [129.0, 759.0, 1033.0, 36.0], shoonya_1sVQRSD6UDQJL5, 5661102]
[section-title, [421.0, 833.0, 529.0, 52.5], shoonya_3s4PG19A189BX0, 5661102]
[ordered-list, [131.0, 923.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 959.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 995.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1031.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1067.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1103.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1139.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1175.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1211.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1247.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1283.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1319.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1355.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1391.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1427.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1463.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1499.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1535.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1571.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1607.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1643.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1679.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1715.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1751.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1787.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[ordered-list, [131.0, 1823.0, 1023.0, 36.0], shoonya_2sZ4MKK5DPUX4P, 5661102]
[folio, [633.0, 1938.0, 654.0, 36.0], shoonya_5sI9IFH3TLRE93, 5661102]
[folio, [633.0, 1974.0, 654.0, 36.0], shoonya_5sI9IFH3TLRE93, 5661102]
